nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,1,0.0,0.0,x,2,3,5
2,0.25,2.25,t1,1,0.08,2.08,x,3,2,4
2,0.25,4.25,x,6,1.425,5.425,x,4,1,3
3,0.5,6.5,x,3,0.685,6.6850000000000005,x,5,8,2
8,1.75,9.75,x,1,0.1,8.1,t2,6,7,1
8,1.75,11.75,t2,6,1.2,11.2,t1,7,6,8
1,0.0,12.0,x,5,1.02,13.02,t1,8,5,7
6,1.25,15.25,t2,7,1.6,15.6,x,1,4,6
6,1.25,17.25,x,8,1.815,17.815,x,2,3,5
6,1.25,19.25,x,2,0.325,18.325,t1,3,2,4
3,0.5,20.5,t2,4,0.89,20.89,c,4,1,3
6,1.25,23.25,x,4,0.8,22.8,x,5,8,2
4,0.75,24.75,x,2,0.3,24.3,x,6,7,1
7,1.5,27.5,c,3,0.6,26.6,x,7,6,8
8,1.75,29.75,c,3,0.545,28.545,x,8,5,7
4,0.75,30.75,t1,6,1.2,31.2,t2,1,4,6
7,1.5,33.5,x,2,0.3,32.3,c,2,3,5
7,1.5,35.5,x,1,0.08,34.08,x,3,2,4
8,1.75,37.75,x,8,1.9,37.9,x,4,1,3
5,1.0,39.0,c,2,0.415,38.415,t2,5,8,2
3,0.5,40.5,x,4,0.795,40.795,x,6,7,1
3,0.5,42.5,x,7,1.43,43.43,c,7,6,8
5,1.0,45.0,t1,1,0.08,44.08,x,8,5,7
1,0.0,46.0,c,7,1.6,47.6,x,1,4,6
7,1.5,49.5,x,1,0.055,48.055,x,2,3,5
6,1.25,51.25,x,3,0.705,50.705,c,3,2,4
2,0.25,52.25,x,3,0.685,52.685,t2,4,1,3
2,0.25,54.25,t2,5,0.94,54.94,c,5,8,2
5,1.0,57.0,x,4,1.01,57.01,x,6,7,1
5,1.0,59.0,x,5,1.16,59.16,x,7,6,8
1,0.0,60.0,x,3,0.545,60.545,x,8,5,7
5,1.0,63.0,x,8,1.75,63.75,x,1,4,6
2,0.25,64.25,c,6,1.28,65.28,x,2,3,5
8,1.75,67.75,x,7,1.445,67.445,x,3,2,4
5,1.0,69.0,x,7,1.705,69.705,x,4,1,3
1,0.0,70.0,x,3,0.685,70.685,x,5,8,2
6,1.25,73.25,c,6,1.37,73.37,c,6,7,1
6,1.25,75.25,t1,5,1.095,75.095,x,7,6,8
4,0.75,76.75,x,7,1.4,77.4,t2,8,5,7
7,1.5,79.5,x,2,0.48,78.48,x,1,4,6
1,0.0,80.0,x,7,1.515,81.515,x,2,3,5
3,0.5,82.5,c,5,1.16,83.16,x,3,2,4
1,0.0,84.0,t1,8,1.82,85.82,x,4,1,3
8,1.75,87.75,t1,6,1.27,87.27,x,5,8,2
7,1.5,89.5,t1,8,1.7,89.7,x,6,7,1
2,0.25,90.25,x,8,1.915,91.915,t2,7,6,8
3,0.5,92.5,x,8,1.835,93.835,c,8,5,7
2,0.25,94.25,x,2,0.235,94.235,x,1,4,6
3,0.5,96.5,t1,3,0.53,96.53,t1,2,3,5
6,1.25,99.25,x,5,0.925,98.925,x,3,2,4
8,1.75,101.75,x,1,0.18,100.18,t1,4,1,3
1,0.0,102.0,x,6,1.42,103.42,x,5,8,2
1,0.0,104.0,t2,2,0.45,104.45,x,6,7,1
4,0.75,106.75,x,5,1.095,107.095,x,7,6,8
4,0.75,108.75,x,4,0.7,108.7,x,8,5,7
8,1.75,111.75,x,4,0.76,110.76,t1,1,4,6
7,1.5,113.5,x,5,1.185,113.185,t2,2,3,5
4,0.75,114.75,t2,4,0.89,114.89,t2,3,2,4
4,0.75,116.75,c,2,0.38,116.38,x,4,1,3
3,0.5,118.5,x,8,1.775,119.775,t1,5,8,2
4,0.75,120.75,x,7,1.545,121.545,t1,6,7,1
5,1.0,123.0,x,4,0.815,122.815,x,7,6,8
7,1.5,125.5,t2,6,1.355,125.355,x,8,5,7
2,0.25,126.25,x,1,0.11,126.11,c,1,4,6
