nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,4,0.855,0.855,x,2,3,5
6,1.25,3.25,x,4,0.745,2.745,t2,3,2,4
8,1.75,5.75,x,5,1.045,5.045,x,4,1,3
1,0.0,6.0,x,6,1.42,7.42,x,5,8,2
7,1.5,9.5,t1,6,1.37,9.370000000000001,c,6,7,1
6,1.25,11.25,t1,3,0.64,10.64,x,7,6,8
8,1.75,13.75,c,4,0.7,12.7,x,8,5,7
1,0.0,14.0,c,2,0.48,14.48,x,1,4,6
2,0.25,16.25,c,4,0.91,16.91,x,2,3,5
4,0.75,18.75,t2,2,0.325,18.325,t1,3,2,4
5,1.0,21.0,x,1,0.015,20.015,t1,4,1,3
6,1.25,23.25,x,2,0.195,22.195,t2,5,8,2
5,1.0,25.0,x,7,1.545,25.545,t1,6,7,1
4,0.75,26.75,x,3,0.6,26.6,x,7,6,8
7,1.5,29.5,t2,8,1.835,29.835,c,8,5,7
7,1.5,31.5,x,4,0.79,30.79,t1,1,4,6
4,0.75,32.75,x,7,1.56,33.56,x,2,3,5
3,0.5,34.5,c,1,0.08,34.08,x,3,2,4
4,0.75,36.75,c,3,0.65,36.65,t2,4,1,3
2,0.25,38.25,t2,1,0.07,38.07,x,5,8,2
8,1.75,41.75,x,8,1.89,41.89,x,6,7,1
2,0.25,42.25,x,3,0.64,42.64,x,7,6,8
2,0.25,44.25,x,4,0.7,44.7,x,8,5,7
2,0.25,46.25,x,5,1.105,47.105,x,1,4,6
5,1.0,49.0,t2,7,1.515,49.515,x,2,3,5
6,1.25,51.25,x,1,-0.005,49.995,x,3,2,4
8,1.75,53.75,x,2,0.38,52.38,x,4,1,3
5,1.0,55.0,c,3,0.575,54.575,x,5,8,2
4,0.75,56.75,x,1,0.08,56.08,t2,6,7,1
5,1.0,59.0,x,7,1.64,59.64,c,7,6,8
5,1.0,61.0,t1,7,1.65,61.65,t2,8,5,7
5,1.0,63.0,x,2,0.235,62.235,x,1,4,6
3,0.5,64.5,t1,5,1.13,65.13,t2,2,3,5
7,1.5,67.5,x,7,1.445,67.445,x,3,2,4
3,0.5,68.5,t2,5,1.045,69.045,x,4,1,3
8,1.75,71.75,t1,5,1.11,71.11,c,5,8,2
6,1.25,73.25,c,5,1.195,73.195,x,6,7,1
4,0.75,74.75,x,4,0.78,74.78,x,7,6,8
1,0.0,76.0,x,6,1.23,77.23,x,8,5,7
6,1.25,79.25,t2,5,1.105,79.105,x,1,4,6
1,0.0,80.0,x,2,0.36,80.36,c,2,3,5
1,0.0,82.0,x,6,1.28,83.28,x,3,2,4
8,1.75,85.75,x,7,1.505,85.505,x,4,1,3
3,0.5,86.5,x,8,1.775,87.775,t1,5,8,2
1,0.0,88.0,t2,8,1.7,89.7,x,6,7,1
7,1.5,91.5,c,3,0.6,90.6,x,7,6,8
3,0.5,92.5,x,6,1.355,93.355,x,8,5,7
2,0.25,94.25,x,1,0.11,94.11,c,1,4,6
7,1.5,97.5,x,3,0.53,96.53,t1,2,3,5
7,1.5,99.5,x,3,0.415,98.415,c,3,2,4
1,0.0,100.0,t1,4,0.82,100.82,c,4,1,3
6,1.25,103.25,x,1,0.07,102.07,x,5,8,2
5,1.0,105.0,x,8,1.89,105.89,x,6,7,1
3,0.5,106.5,x,6,1.2,107.2,t1,7,6,8
4,0.75,108.75,x,5,1.02,109.02,t1,8,5,7
4,0.75,110.75,t1,2,0.48,110.48,x,1,4,6
8,1.75,113.75,x,1,0.055,112.055,x,2,3,5
2,0.25,114.25,t1,7,1.56,115.56,x,3,2,4
2,0.25,116.25,x,8,1.82,117.82,x,4,1,3
6,1.25,119.25,x,6,1.27,119.27,x,5,8,2
3,0.5,120.5,x,8,1.7,121.7,x,6,7,1
8,1.75,123.75,t2,8,1.915,123.915,t2,7,6,8
3,0.5,124.5,x,2,0.245,124.245,x,8,5,7
7,1.5,127.5,x,6,1.2,127.2,t2,1,4,6
