nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,5,1.13,1.13,t2,2,3,5
6,1.25,3.25,x,8,1.845,3.8449999999999998,x,3,2,4
2,0.25,4.25,x,5,1.045,5.045,x,4,1,3
2,0.25,6.25,t2,1,0.07,6.07,x,5,8,2
8,1.75,9.75,x,5,1.195,9.195,x,6,7,1
1,0.0,10.0,x,5,1.095,11.095,x,7,6,8
5,1.0,13.0,t1,2,0.36,12.36,x,8,5,7
1,0.0,14.0,c,4,0.76,14.76,t1,1,4,6
2,0.25,16.25,c,1,0.055,16.055,x,2,3,5
6,1.25,19.25,x,4,0.89,18.89,t2,3,2,4
7,1.5,21.5,x,8,1.82,21.82,x,4,1,3
6,1.25,23.25,x,5,0.94,22.94,c,5,8,2
5,1.0,25.0,x,2,0.3,24.3,x,6,7,1
1,0.0,26.0,x,4,0.815,26.815,x,7,6,8
1,0.0,28.0,x,7,1.65,29.65,t2,8,5,7
8,1.75,31.75,x,2,0.235,30.235,x,1,4,6
6,1.25,33.25,x,7,1.56,33.56,x,2,3,5
4,0.75,34.75,t2,6,1.215,35.215,x,3,2,4
1,0.0,36.0,t1,8,1.9,37.9,x,4,1,3
5,1.0,39.0,c,1,0.07,38.07,x,5,8,2
4,0.75,40.75,x,8,1.89,41.89,x,6,7,1
1,0.0,42.0,x,8,1.785,43.785,t2,7,6,8
3,0.5,44.5,x,8,1.775,45.775,c,8,5,7
3,0.5,46.5,x,6,1.41,47.41,t2,1,4,6
8,1.75,49.75,x,3,0.735,48.735,t1,2,3,5
5,1.0,51.0,x,5,1.16,51.16,x,3,2,4
7,1.5,53.5,x,7,1.505,53.505,x,4,1,3
4,0.75,54.75,x,1,-0.015,53.985,x,5,8,2
7,1.5,57.5,t1,7,1.545,57.545,t1,6,7,1
4,0.75,58.75,x,5,1.16,59.16,x,7,6,8
2,0.25,60.25,x,5,1.07,61.07,t1,8,5,7
3,0.5,62.5,x,7,1.41,63.41,x,1,4,6
3,0.5,64.5,t1,2,0.3,64.3,c,2,3,5
6,1.25,67.25,x,2,0.29,66.29,t1,3,2,4
3,0.5,68.5,t2,4,0.82,68.82,c,4,1,3
4,0.75,70.75,x,4,0.975,70.975,x,5,8,2
5,1.0,73.0,x,6,1.37,73.37,c,6,7,1
4,0.75,74.75,x,1,0.11,74.11,x,7,6,8
7,1.5,77.5,t2,2,0.36,76.36,x,8,5,7
4,0.75,78.75,t1,3,0.645,78.645,x,1,4,6
8,1.75,81.75,x,6,1.295,81.295,x,2,3,5
7,1.5,83.5,x,8,1.85,83.85,x,3,2,4
4,0.75,84.75,c,7,1.505,85.505,x,4,1,3
7,1.5,87.5,x,6,1.27,87.27,x,5,8,2
1,0.0,88.0,t2,3,0.675,88.675,x,6,7,1
7,1.5,91.5,c,6,1.465,91.465,t1,7,6,8
2,0.25,92.25,x,2,0.245,92.245,x,8,5,7
3,0.5,94.5,x,3,0.435,94.435,x,1,4,6
8,1.75,97.75,x,6,1.28,97.28,x,2,3,5
2,0.25,98.25,t1,7,1.445,99.445,x,3,2,4
5,1.0,101.0,x,3,0.65,100.65,t2,4,1,3
7,1.5,103.5,x,8,1.89,103.89,t1,5,8,2
2,0.25,104.25,x,3,0.665,104.665,x,6,7,1
6,1.25,107.25,t1,4,0.78,106.78,x,7,6,8
8,1.75,109.75,c,6,1.23,109.23,x,8,5,7
3,0.5,110.5,x,1,0.16,110.16,c,1,4,6
5,1.0,113.0,t2,4,0.91,112.91,x,2,3,5
3,0.5,114.5,c,3,0.705,114.705,c,3,2,4
5,1.0,117.0,x,1,0.015,116.015,t1,4,1,3
8,1.75,119.75,t1,2,0.195,118.195,t2,5,8,2
6,1.25,121.25,c,1,0.08,120.08,t2,6,7,1
8,1.75,123.75,t2,7,1.64,123.64,c,7,6,8
2,0.25,124.25,x,4,0.9,124.9,x,8,5,7
6,1.25,127.25,t2,3,0.435,126.435,x,1,4,6
