nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
7,1.5,1.5,x,5,1.13,1.13,t2,2,3,5
3,0.5,2.5,c,6,1.215,3.215,x,3,2,4
8,1.75,5.75,x,2,0.34,4.34,x,4,1,3
5,1.0,7.0,c,6,1.42,7.42,x,5,8,2
2,0.25,8.25,x,8,1.89,9.89,x,6,7,1
6,1.25,11.25,t1,7,1.43,11.43,c,7,6,8
2,0.25,12.25,x,3,0.56,12.56,x,8,5,7
2,0.25,14.25,x,7,1.6,15.6,x,1,4,6
1,0.0,16.0,x,6,1.295,17.295,x,2,3,5
4,0.75,18.75,t2,8,1.85,19.85,x,3,2,4
8,1.75,21.75,x,2,0.38,20.38,x,4,1,3
7,1.5,23.5,x,7,1.38,23.38,x,5,8,2
3,0.5,24.5,x,1,0.08,24.08,t2,6,7,1
1,0.0,26.0,x,2,0.235,26.235,x,7,6,8
6,1.25,29.25,x,1,0.125,28.125,x,8,5,7
4,0.75,30.75,t1,2,0.235,30.235,x,1,4,6
3,0.5,32.5,t1,1,0.0,32.0,x,2,3,5
7,1.5,35.5,x,3,0.415,34.415,c,3,2,4
1,0.0,36.0,t1,1,0.18,36.18,t1,4,1,3
4,0.75,38.75,x,8,1.89,39.89,t1,5,8,2
5,1.0,41.0,x,4,0.795,40.795,x,6,7,1
8,1.75,43.75,t2,4,0.78,42.78,x,7,6,8
5,1.0,45.0,t1,5,1.02,45.02,t1,8,5,7
3,0.5,46.5,x,5,1.105,47.105,x,1,4,6
5,1.0,49.0,t2,7,1.515,49.515,x,2,3,5
5,1.0,51.0,x,2,0.325,50.325,t1,3,2,4
2,0.25,52.25,x,7,1.505,53.505,x,4,1,3
2,0.25,54.25,t2,5,0.94,54.94,c,5,8,2
8,1.75,57.75,x,8,1.7,57.7,x,6,7,1
5,1.0,59.0,x,4,0.815,58.815,x,7,6,8
7,1.5,61.5,t2,7,1.65,61.65,t2,8,5,7
3,0.5,62.5,x,2,0.235,62.235,x,1,4,6
4,0.75,64.75,x,2,0.3,64.3,c,2,3,5
7,1.5,67.5,x,4,0.745,66.745,t2,3,2,4
4,0.75,68.75,c,3,0.65,68.65,t2,4,1,3
1,0.0,70.0,x,6,1.42,71.42,x,5,8,2
8,1.75,73.75,x,8,1.89,73.89,x,6,7,1
5,1.0,75.0,x,6,1.2,75.2,t1,7,6,8
1,0.0,76.0,x,3,0.56,76.56,x,8,5,7
3,0.5,78.5,x,5,1.105,79.105,x,1,4,6
2,0.25,80.25,c,3,0.735,80.735,t1,2,3,5
6,1.25,83.25,x,5,1.16,83.16,x,3,2,4
8,1.75,85.75,x,5,1.215,85.215,x,4,1,3
8,1.75,87.75,t1,3,0.575,86.575,x,5,8,2
1,0.0,88.0,t2,7,1.545,89.545,t1,6,7,1
7,1.5,91.5,c,4,0.815,90.815,x,7,6,8
6,1.25,93.25,x,8,1.835,93.835,c,8,5,7
3,0.5,94.5,x,4,0.79,94.79,t1,1,4,6
1,0.0,96.0,x,6,1.28,97.28,x,2,3,5
5,1.0,99.0,x,8,1.845,99.845,x,3,2,4
3,0.5,100.5,t2,5,1.045,101.045,x,4,1,3
6,1.25,103.25,x,3,0.685,102.685,x,5,8,2
7,1.5,105.5,t1,4,0.795,104.795,x,6,7,1
4,0.75,106.75,x,1,0.11,106.11,x,7,6,8
6,1.25,109.25,x,3,0.56,108.56,x,8,5,7
1,0.0,110.0,c,6,1.41,111.41,t2,1,4,6
7,1.5,113.5,x,1,0.055,112.055,x,2,3,5
2,0.25,114.25,t1,7,1.56,115.56,x,3,2,4
2,0.25,116.25,x,4,0.89,116.89,c,4,1,3
4,0.75,118.75,x,2,0.195,118.195,t2,5,8,2
6,1.25,121.25,c,6,1.4,121.4,c,6,7,1
4,0.75,122.75,x,8,1.915,123.915,t2,7,6,8
8,1.75,125.75,c,1,0.125,124.125,x,8,5,7
6,1.25,127.25,t2,1,0.11,126.11,c,1,4,6
