nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
8,1.75,1.75,x,3,0.53,0.53,t1,2,3,5
3,0.5,2.5,c,6,1.215,3.215,x,3,2,4
7,1.5,5.5,x,1,0.18,4.18,t1,4,1,3
2,0.25,6.25,t2,7,1.705,7.705,x,5,8,2
4,0.75,8.75,x,2,0.45,8.45,x,6,7,1
5,1.0,11.0,x,6,1.2,11.2,t1,7,6,8
8,1.75,13.75,c,1,0.08,12.08,x,8,5,7
1,0.0,14.0,c,8,1.935,15.935,x,1,4,6
3,0.5,16.5,t1,6,1.295,17.295,x,2,3,5
1,0.0,18.0,x,6,1.28,19.28,x,3,2,4
1,0.0,20.0,t1,8,1.82,21.82,x,4,1,3
5,1.0,23.0,c,7,1.38,23.38,x,5,8,2
7,1.5,25.5,t1,7,1.545,25.545,t1,6,7,1
3,0.5,26.5,x,1,-0.075,25.925,x,7,6,8
7,1.5,29.5,t2,7,1.65,29.65,t2,8,5,7
8,1.75,31.75,x,1,0.11,30.11,c,1,4,6
2,0.25,32.25,c,8,1.855,33.855,x,2,3,5
2,0.25,34.25,t1,4,0.745,34.745,t2,3,2,4
2,0.25,36.25,x,2,0.34,36.34,x,4,1,3
3,0.5,38.5,x,8,1.89,39.89,t1,5,8,2
4,0.75,40.75,x,1,0.1,40.1,t2,6,7,1
1,0.0,42.0,x,7,1.43,43.43,c,7,6,8
6,1.25,45.25,x,3,0.56,44.56,x,8,5,7
7,1.5,47.5,x,3,0.645,46.645,x,1,4,6
1,0.0,48.0,x,2,0.36,48.36,c,2,3,5
1,0.0,50.0,x,5,1.16,51.16,x,3,2,4
8,1.75,53.75,x,5,1.215,53.215,x,4,1,3
8,1.75,55.75,t1,6,1.27,55.27,x,5,8,2
2,0.25,56.25,x,3,0.675,56.675,x,6,7,1
3,0.5,58.5,x,5,1.16,59.16,x,7,6,8
6,1.25,61.25,x,8,1.835,61.835,c,8,5,7
7,1.5,63.5,x,7,1.41,63.41,x,1,4,6
5,1.0,65.0,t2,4,0.855,64.855,x,2,3,5
1,0.0,66.0,x,2,0.29,66.29,t1,3,2,4
5,1.0,69.0,x,4,0.82,68.82,c,4,1,3
6,1.25,71.25,x,4,0.975,70.975,x,5,8,2
4,0.75,72.75,x,5,1.195,73.195,x,6,7,1
8,1.75,75.75,t2,1,0.11,74.11,x,7,6,8
2,0.25,76.25,x,3,0.56,76.56,x,8,5,7
2,0.25,78.25,x,6,1.41,79.41,t2,1,4,6
6,1.25,81.25,x,1,0.055,80.055,x,2,3,5
5,1.0,83.0,x,3,0.705,82.705,c,3,2,4
2,0.25,84.25,x,3,0.685,84.685,t2,4,1,3
7,1.5,87.5,x,1,-0.015,85.985,x,5,8,2
5,1.0,89.0,x,6,1.4,89.4,c,6,7,1
7,1.5,91.5,c,2,0.235,90.235,x,7,6,8
4,0.75,92.75,x,5,1.07,93.07,t1,8,5,7
7,1.5,95.5,x,7,1.41,95.41,x,1,4,6
8,1.75,97.75,x,5,1.13,97.13,t2,2,3,5
5,1.0,99.0,x,5,0.925,98.925,x,3,2,4
3,0.5,100.5,t2,8,1.9,101.9,x,4,1,3
3,0.5,102.5,x,5,1.11,103.11,c,5,8,2
1,0.0,104.0,t2,4,0.795,104.795,x,6,7,1
6,1.25,107.25,t1,8,1.785,107.785,t2,7,6,8
3,0.5,108.5,x,3,0.56,108.56,x,8,5,7
6,1.25,111.25,t2,4,0.76,110.76,t1,1,4,6
8,1.75,113.75,x,4,0.91,112.91,x,2,3,5
4,0.75,114.75,t2,6,1.28,115.28,x,3,2,4
4,0.75,116.75,c,8,1.82,117.82,x,4,1,3
6,1.25,119.25,x,2,0.195,118.195,t2,5,8,2
6,1.25,121.25,c,4,1.01,121.01,x,6,7,1
4,0.75,122.75,x,2,0.235,122.235,x,7,6,8
5,1.0,125.0,t1,2,0.245,124.245,x,8,5,7
4,0.75,126.75,t1,7,1.41,127.41,x,1,4,6
