nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
3,0.5,0.5,t1,6,1.28,1.28,x,2,3,5
8,1.75,3.75,x,4,0.745,2.745,t2,3,2,4
6,1.25,5.25,x,7,1.705,5.705,x,4,1,3
6,1.25,7.25,x,8,1.89,7.89,t1,5,8,2
3,0.5,8.5,x,6,1.37,9.370000000000001,c,6,7,1
6,1.25,11.25,t1,1,0.11,10.11,x,7,6,8
3,0.5,12.5,x,5,1.02,13.02,t1,8,5,7
1,0.0,14.0,c,8,1.935,15.935,x,1,4,6
2,0.25,16.25,c,6,1.295,17.295,x,2,3,5
2,0.25,18.25,t1,1,-0.005,17.995,x,3,2,4
2,0.25,20.25,x,7,1.505,21.505,x,4,1,3
4,0.75,22.75,x,6,1.27,23.27,x,5,8,2
7,1.5,25.5,t1,8,1.7,25.7,x,6,7,1
7,1.5,27.5,c,1,-0.075,25.925,x,7,6,8
1,0.0,28.0,x,1,0.125,28.125,x,8,5,7
8,1.75,31.75,x,1,0.11,30.11,c,1,4,6
5,1.0,33.0,t2,6,1.28,33.28,x,2,3,5
5,1.0,35.0,x,2,0.29,34.29,t1,3,2,4
1,0.0,36.0,t1,7,1.705,37.705,x,4,1,3
7,1.5,39.5,x,3,0.685,38.685,x,5,8,2
6,1.25,41.25,c,7,1.58,41.58,t1,6,7,1
1,0.0,42.0,x,8,1.785,43.785,t2,7,6,8
7,1.5,45.5,t2,7,1.4,45.4,t2,8,5,7
6,1.25,47.25,t2,8,1.935,47.935,x,1,4,6
4,0.75,48.75,x,2,0.36,48.36,c,2,3,5
4,0.75,50.75,t2,8,1.85,51.85,x,3,2,4
8,1.75,53.75,x,4,0.89,52.89,c,4,1,3
2,0.25,54.25,t2,2,0.195,54.195,t2,5,8,2
2,0.25,56.25,x,4,1.01,57.01,x,6,7,1
1,0.0,58.0,x,3,0.6,58.6,x,7,6,8
1,0.0,60.0,x,2,0.245,60.245,x,8,5,7
4,0.75,62.75,t1,6,1.2,63.2,t2,1,4,6
6,1.25,65.25,x,1,0.0,64.0,x,2,3,5
3,0.5,66.5,c,6,1.215,67.215,x,3,2,4
7,1.5,69.5,x,5,1.045,69.045,x,4,1,3
8,1.75,71.75,t1,5,1.11,71.11,c,5,8,2
3,0.5,72.5,x,1,0.1,72.1,t2,6,7,1
8,1.75,75.75,t2,6,1.2,75.2,t1,7,6,8
8,1.75,77.75,c,4,0.7,76.7,x,8,5,7
7,1.5,79.5,x,2,0.48,78.48,x,1,4,6
4,0.75,80.75,x,5,1.185,81.185,t2,2,3,5
8,1.75,83.75,x,7,1.56,83.56,x,3,2,4
5,1.0,85.0,x,1,0.015,84.015,t1,4,1,3
5,1.0,87.0,c,7,1.38,87.38,x,5,8,2
5,1.0,89.0,x,2,0.3,88.3,x,6,7,1
2,0.25,90.25,x,2,0.235,90.235,x,7,6,8
1,0.0,92.0,x,8,1.835,93.835,c,8,5,7
7,1.5,95.5,x,4,0.79,94.79,t1,1,4,6
4,0.75,96.75,x,4,0.855,96.855,x,2,3,5
6,1.25,99.25,x,5,0.925,98.925,x,3,2,4
4,0.75,100.75,c,8,1.9,101.9,x,4,1,3
6,1.25,103.25,x,4,0.975,102.975,x,5,8,2
8,1.75,105.75,x,5,1.195,105.195,x,6,7,1
2,0.25,106.25,x,4,0.78,106.78,x,7,6,8
5,1.0,109.0,t1,3,0.56,108.56,x,8,5,7
5,1.0,111.0,x,5,1.105,111.105,x,1,4,6
4,0.75,112.75,x,3,0.735,112.735,t1,2,3,5
5,1.0,115.0,x,3,0.705,114.705,c,3,2,4
3,0.5,116.5,t2,3,0.685,116.685,t2,4,1,3
3,0.5,118.5,x,3,0.575,118.575,x,5,8,2
1,0.0,120.0,t2,5,1.11,121.11,x,6,7,1
2,0.25,122.25,x,7,1.64,123.64,c,7,6,8
3,0.5,124.5,x,3,0.545,124.545,x,8,5,7
7,1.5,127.5,x,2,0.235,126.235,x,1,4,6
