nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,1,0.0,0.0,x,2,3,5
3,0.5,2.5,c,6,1.215,3.215,x,3,2,4
7,1.5,5.5,x,7,1.705,5.705,x,4,1,3
2,0.25,6.25,t2,6,1.42,7.42,x,5,8,2
7,1.5,9.5,t1,5,1.195,9.195,x,6,7,1
4,0.75,10.75,x,1,0.11,10.11,x,7,6,8
4,0.75,12.75,x,6,1.23,13.23,x,8,5,7
8,1.75,15.75,x,1,0.16,14.16,c,1,4,6
1,0.0,16.0,x,6,1.295,17.295,x,2,3,5
4,0.75,18.75,t2,4,0.89,18.89,t2,3,2,4
1,0.0,20.0,t1,2,0.38,20.38,x,4,1,3
3,0.5,22.5,x,8,1.775,23.775,t1,5,8,2
1,0.0,24.0,t2,1,0.08,24.08,t2,6,7,1
8,1.75,27.75,t2,7,1.64,27.64,c,7,6,8
2,0.25,28.25,x,7,1.65,29.65,t2,8,5,7
7,1.5,31.5,x,7,1.41,31.41,x,1,4,6
7,1.5,33.5,x,5,1.13,33.13,t2,2,3,5
5,1.0,35.0,x,6,1.215,35.215,x,3,2,4
3,0.5,36.5,t2,1,0.18,36.18,t1,4,1,3
5,1.0,39.0,c,7,1.705,39.705,x,5,8,2
2,0.25,40.25,x,6,1.37,41.37,c,6,7,1
1,0.0,42.0,x,1,0.11,42.11,x,7,6,8
6,1.25,45.25,x,1,0.08,44.08,x,8,5,7
3,0.5,46.5,x,3,0.645,46.645,x,1,4,6
6,1.25,49.25,x,3,0.735,48.735,t1,2,3,5
2,0.25,50.25,t1,8,1.85,51.85,x,3,2,4
7,1.5,53.5,x,5,1.215,53.215,x,4,1,3
4,0.75,54.75,x,5,0.94,54.94,c,5,8,2
2,0.25,56.25,x,5,1.11,57.11,x,6,7,1
1,0.0,58.0,x,4,0.815,58.815,x,7,6,8
8,1.75,61.75,c,3,0.545,60.545,x,8,5,7
4,0.75,62.75,t1,4,0.79,62.79,t1,1,4,6
2,0.25,64.25,c,8,1.855,65.855,x,2,3,5
6,1.25,67.25,x,3,0.415,66.415,c,3,2,4
8,1.75,69.75,x,3,0.65,68.65,t2,4,1,3
3,0.5,70.5,x,7,1.705,71.705,x,5,8,2
8,1.75,73.75,x,8,1.89,73.89,x,6,7,1
6,1.25,75.25,t1,2,0.48,74.48,x,7,6,8
5,1.0,77.0,t1,5,1.02,77.02,t1,8,5,7
8,1.75,79.75,x,6,1.41,79.41,t2,1,4,6
5,1.0,81.0,t2,8,1.815,81.815,x,2,3,5
5,1.0,83.0,x,1,-0.005,81.995,x,3,2,4
5,1.0,85.0,x,2,0.38,84.38,x,4,1,3
6,1.25,87.25,x,2,0.195,86.195,t2,5,8,2
2,0.25,88.25,x,5,1.11,89.11,x,6,7,1
7,1.5,91.5,c,2,0.235,90.235,x,7,6,8
7,1.5,93.5,t2,2,0.245,92.245,x,8,5,7
8,1.75,95.75,x,3,0.435,94.435,x,1,4,6
3,0.5,96.5,t1,4,0.855,96.855,x,2,3,5
5,1.0,99.0,x,8,1.845,99.845,x,3,2,4
4,0.75,100.75,c,5,1.045,101.045,x,4,1,3
8,1.75,103.75,t1,4,0.975,102.975,x,5,8,2
6,1.25,105.25,c,7,1.58,105.58,t1,6,7,1
1,0.0,106.0,x,8,1.785,107.785,t2,7,6,8
3,0.5,108.5,x,4,0.7,108.7,x,8,5,7
1,0.0,110.0,c,3,0.645,110.645,x,1,4,6
4,0.75,112.75,x,2,0.36,112.36,c,2,3,5
6,1.25,115.25,x,2,0.325,114.325,t1,3,2,4
7,1.5,117.5,x,4,0.89,116.89,c,4,1,3
4,0.75,118.75,x,7,1.38,119.38,x,5,8,2
3,0.5,120.5,x,4,1.01,121.01,x,6,7,1
5,1.0,123.0,x,6,1.465,123.465,t1,7,6,8
2,0.25,124.25,x,8,1.835,125.835,c,8,5,7
6,1.25,127.25,t2,3,0.435,126.435,x,1,4,6
