nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
2,0.25,0.25,c,8,1.855,1.855,x,2,3,5
7,1.5,3.5,x,1,0.08,2.08,x,3,2,4
8,1.75,5.75,x,5,1.045,5.045,x,4,1,3
1,0.0,6.0,x,7,1.705,7.705,x,5,8,2
3,0.5,8.5,x,7,1.58,9.58,t1,6,7,1
5,1.0,11.0,x,4,0.78,10.78,x,7,6,8
5,1.0,13.0,t1,3,0.56,12.56,x,8,5,7
8,1.75,15.75,x,3,0.645,14.645,x,1,4,6
3,0.5,16.5,t1,3,0.735,16.735,t1,2,3,5
8,1.75,19.75,x,2,0.325,18.325,t1,3,2,4
5,1.0,21.0,x,4,0.89,20.89,c,4,1,3
4,0.75,22.75,x,6,1.27,23.27,x,5,8,2
1,0.0,24.0,t2,5,1.11,25.11,x,6,7,1
1,0.0,26.0,x,4,0.815,26.815,x,7,6,8
7,1.5,29.5,t2,8,1.835,29.835,c,8,5,7
8,1.75,31.75,x,3,0.435,30.435,x,1,4,6
7,1.5,33.5,x,4,0.855,32.855,x,2,3,5
5,1.0,35.0,x,4,0.745,34.745,t2,3,2,4
2,0.25,36.25,x,8,1.9,37.9,x,4,1,3
5,1.0,39.0,c,2,0.415,38.415,t2,5,8,2
8,1.75,41.75,x,8,1.89,41.89,x,6,7,1
6,1.25,43.25,t1,8,1.785,43.785,t2,7,6,8
3,0.5,44.5,x,5,1.02,45.02,t1,8,5,7
7,1.5,47.5,x,6,1.41,47.41,t2,1,4,6
7,1.5,49.5,x,6,1.295,49.295,x,2,3,5
4,0.75,50.75,t2,1,-0.005,49.995,x,3,2,4
3,0.5,52.5,t2,1,0.015,52.015,t1,4,1,3
1,0.0,54.0,x,8,1.775,55.775,t1,5,8,2
5,1.0,57.0,x,8,1.7,57.7,x,6,7,1
2,0.25,58.25,x,1,-0.075,57.925,x,7,6,8
6,1.25,61.25,x,2,0.245,60.245,x,8,5,7
5,1.0,63.0,x,3,0.435,62.435,x,1,4,6
1,0.0,64.0,x,4,0.855,64.855,x,2,3,5
3,0.5,66.5,c,6,1.215,67.215,x,3,2,4
6,1.25,69.25,x,5,1.045,69.045,x,4,1,3
4,0.75,70.75,x,4,0.975,70.975,x,5,8,2
4,0.75,72.75,x,2,0.45,72.45,x,6,7,1
7,1.5,75.5,c,6,1.2,75.2,t1,7,6,8
2,0.25,76.25,x,7,1.4,77.4,t2,8,5,7
4,0.75,78.75,t1,1,0.16,78.16,c,1,4,6
4,0.75,80.75,x,2,0.36,80.36,c,2,3,5
2,0.25,82.25,t1,7,1.56,83.56,x,3,2,4
1,0.0,84.0,t1,3,0.685,84.685,t2,4,1,3
4,0.75,86.75,x,6,1.27,87.27,x,5,8,2
6,1.25,89.25,c,5,1.11,89.11,x,6,7,1
1,0.0,90.0,x,1,-0.075,89.925,x,7,6,8
2,0.25,92.25,x,1,0.125,92.125,x,8,5,7
6,1.25,95.25,t2,7,1.41,95.41,x,1,4,6
5,1.0,97.0,t2,6,1.28,97.28,x,2,3,5
6,1.25,99.25,x,8,1.845,99.845,x,3,2,4
7,1.5,101.5,x,5,1.045,101.045,x,4,1,3
2,0.25,102.25,t2,5,1.11,103.11,c,5,8,2
7,1.5,105.5,t1,6,1.37,105.37,c,6,7,1
2,0.25,106.25,x,2,0.48,106.48,x,7,6,8
3,0.5,108.5,x,2,0.36,108.36,x,8,5,7
1,0.0,110.0,c,4,0.76,110.76,t1,1,4,6
6,1.25,113.25,x,5,1.185,113.185,t2,2,3,5
6,1.25,115.25,x,3,0.705,114.705,c,3,2,4
4,0.75,116.75,c,2,0.38,116.38,x,4,1,3
8,1.75,119.75,t1,7,1.38,119.38,x,5,8,2
3,0.5,120.5,x,1,0.08,120.08,t2,6,7,1
8,1.75,123.75,t2,7,1.64,123.64,c,7,6,8
8,1.75,125.75,c,3,0.545,124.545,x,8,5,7
3,0.5,126.5,x,7,1.41,127.41,x,1,4,6
