nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,4,0.855,0.855,x,2,3,5
4,0.75,2.75,t2,2,0.29,2.29,t1,3,2,4
3,0.5,4.5,t2,6,1.425,5.425,x,4,1,3
7,1.5,7.5,x,1,0.07,6.07,x,5,8,2
8,1.75,9.75,x,5,1.195,9.195,x,6,7,1
1,0.0,10.0,x,3,0.64,10.64,x,7,6,8
4,0.75,12.75,x,2,0.36,12.36,x,8,5,7
2,0.25,14.25,x,3,0.645,14.645,x,1,4,6
3,0.5,16.5,t1,5,1.185,17.185,t2,2,3,5
7,1.5,19.5,x,1,-0.005,17.995,x,3,2,4
5,1.0,21.0,x,4,0.89,20.89,c,4,1,3
1,0.0,22.0,x,7,1.38,23.38,x,5,8,2
1,0.0,24.0,t2,6,1.4,25.4,c,6,7,1
6,1.25,27.25,t1,7,1.64,27.64,c,7,6,8
5,1.0,29.0,t1,8,1.835,29.835,c,8,5,7
1,0.0,30.0,c,1,0.11,30.11,c,1,4,6
7,1.5,33.5,x,2,0.3,32.3,c,2,3,5
1,0.0,34.0,x,4,0.745,34.745,t2,3,2,4
1,0.0,36.0,t1,3,0.65,36.65,t2,4,1,3
5,1.0,39.0,c,1,0.07,38.07,x,5,8,2
8,1.75,41.75,x,8,1.89,41.89,x,6,7,1
8,1.75,43.75,t2,4,0.78,42.78,x,7,6,8
1,0.0,44.0,x,5,1.02,45.02,t1,8,5,7
4,0.75,46.75,t1,6,1.41,47.41,t2,1,4,6
4,0.75,48.75,x,3,0.735,48.735,t1,2,3,5
3,0.5,50.5,c,3,0.705,50.705,c,3,2,4
4,0.75,52.75,c,1,0.015,52.015,t1,4,1,3
8,1.75,55.75,t1,5,0.94,54.94,c,5,8,2
6,1.25,57.25,c,8,1.7,57.7,x,6,7,1
3,0.5,58.5,x,8,1.915,59.915,t2,7,6,8
4,0.75,60.75,x,6,1.355,61.355,x,8,5,7
3,0.5,62.5,x,2,0.235,62.235,x,1,4,6
2,0.25,64.25,c,7,1.56,65.56,x,2,3,5
7,1.5,67.5,x,1,0.08,66.08,x,3,2,4
6,1.25,69.25,x,5,1.045,69.045,x,4,1,3
6,1.25,71.25,x,8,1.89,71.89,t1,5,8,2
5,1.0,73.0,x,5,1.195,73.195,x,6,7,1
7,1.5,75.5,c,1,0.11,74.11,x,7,6,8
8,1.75,77.75,c,7,1.4,77.4,t2,8,5,7
3,0.5,78.5,x,7,1.6,79.6,x,1,4,6
4,0.75,80.75,x,7,1.515,81.515,x,2,3,5
8,1.75,83.75,x,5,1.16,83.16,x,3,2,4
8,1.75,85.75,x,5,1.215,85.215,x,4,1,3
2,0.25,86.25,t2,4,0.8,86.8,x,5,8,2
7,1.5,89.5,t1,7,1.545,89.545,t1,6,7,1
2,0.25,90.25,x,4,0.815,90.815,x,7,6,8
6,1.25,93.25,x,3,0.545,92.545,x,8,5,7
6,1.25,95.25,t2,4,0.79,94.79,t1,1,4,6
5,1.0,97.0,t2,6,1.28,97.28,x,2,3,5
2,0.25,98.25,t1,8,1.845,99.845,x,3,2,4
5,1.0,101.0,x,2,0.34,100.34,x,4,1,3
4,0.75,102.75,x,4,0.975,102.975,x,5,8,2
8,1.75,105.75,x,1,0.1,104.1,t2,6,7,1
3,0.5,106.5,x,3,0.64,106.64,x,7,6,8
7,1.5,109.5,t2,6,1.23,109.23,x,8,5,7
5,1.0,111.0,x,2,0.48,110.48,x,1,4,6
6,1.25,113.25,x,7,1.515,113.515,x,2,3,5
6,1.25,115.25,x,6,1.28,115.28,x,3,2,4
2,0.25,116.25,x,8,1.82,117.82,x,4,1,3
7,1.5,119.5,x,2,0.195,118.195,t2,5,8,2
2,0.25,120.25,x,8,1.7,121.7,x,6,7,1
3,0.5,122.5,x,6,1.465,123.465,t1,7,6,8
2,0.25,124.25,x,3,0.545,124.545,x,8,5,7
5,1.0,127.0,x,2,0.235,126.235,x,1,4,6
