nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
6,1.25,1.25,x,4,0.855,0.855,x,2,3,5
3,0.5,2.5,c,6,1.215,3.215,x,3,2,4
3,0.5,4.5,t2,7,1.705,5.705,x,4,1,3
2,0.25,6.25,t2,7,1.705,7.705,x,5,8,2
7,1.5,9.5,t1,6,1.37,9.370000000000001,c,6,7,1
5,1.0,11.0,x,6,1.2,11.2,t1,7,6,8
7,1.5,13.5,t2,8,1.775,13.775,c,8,5,7
3,0.5,14.5,x,3,0.645,14.645,x,1,4,6
3,0.5,16.5,t1,2,0.36,16.36,c,2,3,5
2,0.25,18.25,t1,3,0.705,18.705,c,3,2,4
4,0.75,20.75,c,4,0.89,20.89,c,4,1,3
3,0.5,22.5,x,5,0.94,22.94,c,5,8,2
4,0.75,24.75,x,2,0.3,24.3,x,6,7,1
6,1.25,27.25,t1,7,1.64,27.64,c,7,6,8
1,0.0,28.0,x,6,1.355,29.355,x,8,5,7
7,1.5,31.5,x,2,0.235,30.235,x,1,4,6
7,1.5,33.5,x,5,1.13,33.13,t2,2,3,5
8,1.75,35.75,x,2,0.29,34.29,t1,3,2,4
1,0.0,36.0,t1,6,1.425,37.425,x,4,1,3
1,0.0,38.0,x,3,0.685,38.685,x,5,8,2
4,0.75,40.75,x,1,0.1,40.1,t2,6,7,1
7,1.5,43.5,c,8,1.785,43.785,t2,7,6,8
5,1.0,45.0,t1,6,1.23,45.23,x,8,5,7
6,1.25,47.25,t2,2,0.48,46.48,x,1,4,6
8,1.75,49.75,x,4,0.91,48.91,x,2,3,5
1,0.0,50.0,x,5,1.16,51.16,x,3,2,4
2,0.25,52.25,x,7,1.505,53.505,x,4,1,3
8,1.75,55.75,t1,8,1.775,55.775,t1,5,8,2
6,1.25,57.25,c,7,1.545,57.545,t1,6,7,1
5,1.0,59.0,x,2,0.235,58.235,x,7,6,8
8,1.75,61.75,c,6,1.355,61.355,x,8,5,7
1,0.0,62.0,c,4,0.79,62.79,t1,1,4,6
5,1.0,65.0,t2,8,1.855,65.855,x,2,3,5
8,1.75,67.75,x,1,0.08,66.08,x,3,2,4
5,1.0,69.0,x,2,0.34,68.34,x,4,1,3
1,0.0,70.0,x,7,1.705,71.705,x,5,8,2
8,1.75,73.75,x,3,0.665,72.665,x,6,7,1
1,0.0,74.0,x,1,0.11,74.11,x,7,6,8
4,0.75,76.75,x,7,1.4,77.4,t2,8,5,7
3,0.5,78.5,x,1,0.16,78.16,c,1,4,6
2,0.25,80.25,c,3,0.735,80.735,t1,2,3,5
5,1.0,83.0,x,5,1.16,83.16,x,3,2,4
6,1.25,85.25,x,1,0.015,84.015,t1,4,1,3
5,1.0,87.0,c,1,-0.015,85.985,x,5,8,2
3,0.5,88.5,x,8,1.7,89.7,x,6,7,1
2,0.25,90.25,x,1,-0.075,89.925,x,7,6,8
6,1.25,93.25,x,4,0.9,92.9,x,8,5,7
7,1.5,95.5,x,6,1.2,95.2,t2,1,4,6
8,1.75,97.75,x,7,1.56,97.56,x,2,3,5
4,0.75,98.75,t2,5,0.925,98.925,x,3,2,4
7,1.5,101.5,x,8,1.9,101.9,x,4,1,3
3,0.5,102.5,x,2,0.415,102.415,t2,5,8,2
1,0.0,104.0,t2,5,1.195,105.195,x,6,7,1
2,0.25,106.25,x,1,0.11,106.11,x,7,6,8
2,0.25,108.25,x,5,1.02,109.02,t1,8,5,7
4,0.75,110.75,t1,8,1.935,111.935,x,1,4,6
6,1.25,113.25,x,4,0.91,112.91,x,2,3,5
6,1.25,115.25,x,4,0.89,114.89,t2,3,2,4
5,1.0,117.0,x,3,0.685,116.685,t2,4,1,3
4,0.75,118.75,x,3,0.575,118.575,x,5,8,2
2,0.25,120.25,x,5,1.11,121.11,x,6,7,1
8,1.75,123.75,t2,4,0.815,122.815,x,7,6,8
4,0.75,124.75,x,3,0.545,124.545,x,8,5,7
7,1.5,127.5,x,8,1.75,127.75,x,1,4,6
