nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
7,1.5,1.5,x,5,1.13,1.13,t2,2,3,5
3,0.5,2.5,c,6,1.215,3.215,x,3,2,4
8,1.75,5.75,x,8,1.9,5.9,x,4,1,3
5,1.0,7.0,c,1,0.07,6.07,x,5,8,2
7,1.5,9.5,t1,3,0.665,8.665,x,6,7,1
1,0.0,10.0,x,8,1.785,11.785,t2,7,6,8
1,0.0,12.0,x,7,1.4,13.4,t2,8,5,7
3,0.5,14.5,x,7,1.6,15.6,x,1,4,6
1,0.0,16.0,x,8,1.815,17.815,x,2,3,5
2,0.25,18.25,t1,5,1.16,19.16,x,3,2,4
7,1.5,21.5,x,7,1.505,21.505,x,4,1,3
2,0.25,22.25,t2,5,0.94,22.94,c,5,8,2
5,1.0,25.0,x,5,1.11,25.11,x,6,7,1
4,0.75,26.75,x,3,0.6,26.6,x,7,6,8
5,1.0,29.0,t1,1,0.125,28.125,x,8,5,7
2,0.25,30.25,x,5,1.085,31.085,x,1,4,6
8,1.75,33.75,x,6,1.28,33.28,x,2,3,5
1,0.0,34.0,x,2,0.29,34.29,t1,3,2,4
3,0.5,36.5,t2,1,0.18,36.18,t1,4,1,3
1,0.0,38.0,x,1,0.07,38.07,x,5,8,2
5,1.0,41.0,x,4,0.795,40.795,x,6,7,1
6,1.25,43.25,t1,5,1.095,43.095,x,7,6,8
2,0.25,44.25,x,6,1.23,45.23,x,8,5,7
1,0.0,46.0,c,2,0.48,46.48,x,1,4,6
6,1.25,49.25,x,2,0.36,48.36,c,2,3,5
6,1.25,51.25,x,3,0.705,50.705,c,3,2,4
7,1.5,53.5,x,3,0.685,52.685,t2,4,1,3
7,1.5,55.5,x,7,1.38,55.38,x,5,8,2
1,0.0,56.0,t2,6,1.4,57.4,c,6,7,1
7,1.5,59.5,c,1,-0.075,57.925,x,7,6,8
4,0.75,60.75,x,6,1.355,61.355,x,8,5,7
8,1.75,63.75,x,7,1.41,63.41,x,1,4,6
2,0.25,64.25,c,8,1.855,65.855,x,2,3,5
4,0.75,66.75,t2,6,1.215,67.215,x,3,2,4
2,0.25,68.25,x,2,0.34,68.34,x,4,1,3
7,1.5,71.5,x,2,0.415,70.415,t2,5,8,2
2,0.25,72.25,x,4,0.795,72.795,x,6,7,1
8,1.75,75.75,t2,4,0.78,74.78,x,7,6,8
3,0.5,76.5,x,3,0.56,76.56,x,8,5,7
4,0.75,78.75,t1,2,0.48,78.48,x,1,4,6
6,1.25,81.25,x,8,1.815,81.815,x,2,3,5
6,1.25,83.25,x,5,1.16,83.16,x,3,2,4
2,0.25,84.25,x,2,0.38,84.38,x,4,1,3
8,1.75,87.75,t1,8,1.775,87.775,t1,5,8,2
6,1.25,89.25,c,4,1.01,89.01,x,6,7,1
4,0.75,90.75,x,6,1.465,91.465,t1,7,6,8
7,1.5,93.5,t2,5,1.07,93.07,t1,8,5,7
3,0.5,94.5,x,1,0.11,94.11,c,1,4,6
5,1.0,97.0,t2,3,0.53,96.53,t1,2,3,5
8,1.75,99.75,x,4,0.745,98.745,t2,3,2,4
4,0.75,100.75,c,4,0.82,100.82,c,4,1,3
4,0.75,102.75,x,4,0.975,102.975,x,5,8,2
5,1.0,105.0,x,1,0.1,104.1,t2,6,7,1
3,0.5,106.5,x,1,0.11,106.11,x,7,6,8
8,1.75,109.75,c,8,1.775,109.775,c,8,5,7
8,1.75,111.75,x,6,1.41,111.41,t2,1,4,6
3,0.5,112.5,t1,7,1.515,113.515,x,2,3,5
5,1.0,115.0,x,8,1.85,115.85,x,3,2,4
1,0.0,116.0,t1,2,0.38,116.38,x,4,1,3
3,0.5,118.5,x,3,0.575,118.575,x,5,8,2
5,1.0,121.0,x,7,1.545,121.545,t1,6,7,1
4,0.75,122.75,x,7,1.64,123.64,c,7,6,8
6,1.25,125.25,x,3,0.545,124.545,x,8,5,7
6,1.25,127.25,t2,4,0.79,126.79,t1,1,4,6
