nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
2,0.25,0.25,c,3,0.53,0.53,t1,2,3,5
1,0.0,2.0,x,4,0.745,2.745,t2,3,2,4
4,0.75,4.75,c,8,1.9,5.9,x,4,1,3
2,0.25,6.25,t2,1,0.07,6.07,x,5,8,2
3,0.5,8.5,x,3,0.665,8.665,x,6,7,1
3,0.5,10.5,x,2,0.48,10.48,x,7,6,8
4,0.75,12.75,x,5,1.02,13.02,t1,8,5,7
5,1.0,15.0,x,3,0.645,14.645,x,1,4,6
7,1.5,17.5,x,5,1.185,17.185,t2,2,3,5
4,0.75,18.75,t2,7,1.56,19.56,x,3,2,4
8,1.75,21.75,x,5,1.215,21.215,x,4,1,3
1,0.0,22.0,x,5,0.94,22.94,c,5,8,2
3,0.5,24.5,x,2,0.3,24.3,x,6,7,1
5,1.0,27.0,x,3,0.6,26.6,x,7,6,8
5,1.0,29.0,t1,2,0.245,28.245,x,8,5,7
7,1.5,31.5,x,2,0.235,30.235,x,1,4,6
3,0.5,32.5,t1,6,1.28,33.28,x,2,3,5
3,0.5,34.5,c,1,0.08,34.08,x,3,2,4
1,0.0,36.0,t1,3,0.65,36.65,t2,4,1,3
8,1.75,39.75,t1,1,0.07,38.07,x,5,8,2
6,1.25,41.25,c,5,1.195,41.195,x,6,7,1
1,0.0,42.0,x,8,1.785,43.785,t2,7,6,8
1,0.0,44.0,x,7,1.4,45.4,t2,8,5,7
2,0.25,46.25,x,6,1.41,47.41,t2,1,4,6
5,1.0,49.0,t2,8,1.815,49.815,x,2,3,5
5,1.0,51.0,x,6,1.28,51.28,x,3,2,4
5,1.0,53.0,x,7,1.505,53.505,x,4,1,3
6,1.25,55.25,x,2,0.195,54.195,t2,5,8,2
3,0.5,56.5,x,4,1.01,57.01,x,6,7,1
5,1.0,59.0,x,2,0.235,58.235,x,7,6,8
6,1.25,61.25,x,3,0.545,60.545,x,8,5,7
2,0.25,62.25,x,4,0.79,62.79,t1,1,4,6
8,1.75,65.75,x,4,0.855,64.855,x,2,3,5
6,1.25,67.25,x,3,0.415,66.415,c,3,2,4
2,0.25,68.25,x,4,0.82,68.82,c,4,1,3
6,1.25,71.25,x,4,0.975,70.975,x,5,8,2
7,1.5,73.5,t1,6,1.37,73.37,c,6,7,1
6,1.25,75.25,t1,7,1.43,75.43,c,7,6,8
8,1.75,77.75,c,3,0.56,76.56,x,8,5,7
6,1.25,79.25,t2,7,1.6,79.6,x,1,4,6
6,1.25,81.25,x,2,0.36,80.36,c,2,3,5
1,0.0,82.0,x,8,1.85,83.85,x,3,2,4
2,0.25,84.25,x,8,1.82,85.82,x,4,1,3
7,1.5,87.5,x,8,1.775,87.775,t1,5,8,2
1,0.0,88.0,t2,8,1.7,89.7,x,6,7,1
4,0.75,90.75,x,5,1.16,91.16,x,7,6,8
7,1.5,93.5,t2,4,0.9,92.9,x,8,5,7
7,1.5,95.5,x,5,1.085,95.085,x,1,4,6
8,1.75,97.75,x,1,0.0,96.0,x,2,3,5
2,0.25,98.25,t1,2,0.29,98.29,t1,3,2,4
3,0.5,100.5,t2,5,1.045,101.045,x,4,1,3
4,0.75,102.75,x,1,0.07,102.07,x,5,8,2
4,0.75,104.75,x,7,1.58,105.58,t1,6,7,1
8,1.75,107.75,t2,4,0.78,106.78,x,7,6,8
3,0.5,108.5,x,6,1.23,109.23,x,8,5,7
4,0.75,110.75,t1,7,1.6,111.6,x,1,4,6
8,1.75,113.75,x,6,1.295,113.295,x,2,3,5
8,1.75,115.75,x,6,1.28,115.28,x,3,2,4
7,1.5,117.5,x,1,0.015,116.015,t1,4,1,3
5,1.0,119.0,c,7,1.38,119.38,x,5,8,2
4,0.75,120.75,x,1,0.08,120.08,t2,6,7,1
7,1.5,123.5,c,6,1.465,123.465,t1,7,6,8
2,0.25,124.25,x,8,1.835,125.835,c,8,5,7
1,0.0,126.0,c,1,0.11,126.11,c,1,4,6
