nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
7,1.5,1.5,x,4,0.855,0.855,x,2,3,5
3,0.5,2.5,c,7,1.445,3.4450000000000003,x,3,2,4
3,0.5,4.5,t2,5,1.045,5.045,x,4,1,3
5,1.0,7.0,c,5,1.11,7.11,c,5,8,2
6,1.25,9.25,c,3,0.665,8.665,x,6,7,1
1,0.0,10.0,x,5,1.095,11.095,x,7,6,8
7,1.5,13.5,t2,4,0.7,12.7,x,8,5,7
8,1.75,15.75,x,4,0.76,14.76,t1,1,4,6
4,0.75,16.75,x,1,0.055,16.055,x,2,3,5
5,1.0,19.0,x,6,1.28,19.28,x,3,2,4
7,1.5,21.5,x,1,0.015,20.015,t1,4,1,3
4,0.75,22.75,x,8,1.775,23.775,t1,5,8,2
2,0.25,24.25,x,8,1.7,25.7,x,6,7,1
2,0.25,26.25,x,7,1.64,27.64,c,7,6,8
1,0.0,28.0,x,8,1.835,29.835,c,8,5,7
5,1.0,31.0,x,2,0.235,30.235,x,1,4,6
2,0.25,32.25,c,2,0.3,32.3,c,2,3,5
2,0.25,34.25,t1,6,1.215,35.215,x,3,2,4
8,1.75,37.75,x,7,1.705,37.705,x,4,1,3
6,1.25,39.25,x,7,1.705,39.705,x,5,8,2
5,1.0,41.0,x,3,0.665,40.665,x,6,7,1
7,1.5,43.5,c,6,1.2,43.2,t1,7,6,8
6,1.25,45.25,x,1,0.08,44.08,x,8,5,7
3,0.5,46.5,x,6,1.41,47.41,t2,1,4,6
4,0.75,48.75,x,3,0.735,48.735,t1,2,3,5
1,0.0,50.0,x,1,-0.005,49.995,x,3,2,4
4,0.75,52.75,c,8,1.82,53.82,x,4,1,3
6,1.25,55.25,x,2,0.195,54.195,t2,5,8,2
2,0.25,56.25,x,6,1.4,57.4,c,6,7,1
4,0.75,58.75,x,1,-0.075,57.925,x,7,6,8
8,1.75,61.75,c,5,1.07,61.07,t1,8,5,7
1,0.0,62.0,c,8,1.75,63.75,x,1,4,6
5,1.0,65.0,t2,5,1.13,65.13,t2,2,3,5
4,0.75,66.75,t2,3,0.415,66.415,c,3,2,4
1,0.0,68.0,t1,2,0.34,68.34,x,4,1,3
3,0.5,70.5,x,6,1.42,71.42,x,5,8,2
8,1.75,73.75,x,1,0.1,72.1,t2,6,7,1
3,0.5,74.5,x,5,1.095,75.095,x,7,6,8
5,1.0,77.0,t1,4,0.7,76.7,x,8,5,7
5,1.0,79.0,x,1,0.16,78.16,c,1,4,6
8,1.75,81.75,x,1,0.055,80.055,x,2,3,5
1,0.0,82.0,x,5,1.16,83.16,x,3,2,4
7,1.5,85.5,x,2,0.38,84.38,x,4,1,3
8,1.75,87.75,t1,6,1.27,87.27,x,5,8,2
7,1.5,89.5,t1,3,0.675,88.675,x,6,7,1
3,0.5,90.5,x,3,0.6,90.6,x,7,6,8
6,1.25,93.25,x,3,0.545,92.545,x,8,5,7
6,1.25,95.25,t2,8,1.75,95.75,x,1,4,6
3,0.5,96.5,t1,6,1.28,97.28,x,2,3,5
7,1.5,99.5,x,2,0.29,98.29,t1,3,2,4
7,1.5,101.5,x,4,0.82,100.82,c,4,1,3
2,0.25,102.25,t2,4,0.975,102.975,x,5,8,2
2,0.25,104.25,x,7,1.58,105.58,t1,6,7,1
6,1.25,107.25,t1,8,1.785,107.785,t2,7,6,8
6,1.25,109.25,x,4,0.7,108.7,x,8,5,7
4,0.75,110.75,t1,2,0.48,110.48,x,1,4,6
1,0.0,112.0,x,7,1.515,113.515,x,2,3,5
5,1.0,115.0,x,4,0.89,114.89,t2,3,2,4
8,1.75,117.75,x,3,0.685,116.685,t2,4,1,3
4,0.75,118.75,x,7,1.38,119.38,x,5,8,2
1,0.0,120.0,t2,5,1.11,121.11,x,6,7,1
8,1.75,123.75,t2,2,0.235,122.235,x,7,6,8
2,0.25,124.25,x,7,1.65,125.65,t2,8,5,7
3,0.5,126.5,x,8,1.75,127.75,x,1,4,6
