nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
3,0.5,0.5,t1,2,0.3,0.3,c,2,3,5
1,0.0,2.0,x,5,0.925,2.925,x,3,2,4
3,0.5,4.5,t2,8,1.9,5.9,x,4,1,3
1,0.0,6.0,x,1,0.07,6.07,x,5,8,2
7,1.5,9.5,t1,6,1.37,9.370000000000001,c,6,7,1
1,0.0,10.0,x,3,0.64,10.64,x,7,6,8
4,0.75,12.75,x,8,1.775,13.775,c,8,5,7
8,1.75,15.75,x,7,1.6,15.6,x,1,4,6
4,0.75,16.75,x,6,1.295,17.295,x,2,3,5
4,0.75,18.75,t2,1,-0.005,17.995,x,3,2,4
7,1.5,21.5,x,7,1.505,21.505,x,4,1,3
2,0.25,22.25,t2,5,0.94,22.94,c,5,8,2
1,0.0,24.0,t2,1,0.08,24.08,t2,6,7,1
2,0.25,26.25,x,3,0.6,26.6,x,7,6,8
5,1.0,29.0,t1,1,0.125,28.125,x,8,5,7
6,1.25,31.25,t2,3,0.435,30.435,x,1,4,6
8,1.75,33.75,x,4,0.855,32.855,x,2,3,5
5,1.0,35.0,x,6,1.215,35.215,x,3,2,4
5,1.0,37.0,x,5,1.045,37.045,x,4,1,3
4,0.75,38.75,x,4,0.975,38.975,x,5,8,2
6,1.25,41.25,c,4,0.795,40.795,x,6,7,1
7,1.5,43.5,c,5,1.095,43.095,x,7,6,8
6,1.25,45.25,x,6,1.23,45.23,x,8,5,7
7,1.5,47.5,x,2,0.48,46.48,x,1,4,6
6,1.25,49.25,x,3,0.735,48.735,t1,2,3,5
3,0.5,50.5,c,4,0.89,50.89,t2,3,2,4
4,0.75,52.75,c,3,0.685,52.685,t2,4,1,3
7,1.5,55.5,x,6,1.27,55.27,x,5,8,2
5,1.0,57.0,x,2,0.3,56.3,x,6,7,1
2,0.25,58.25,x,8,1.915,59.915,t2,7,6,8
8,1.75,61.75,c,5,1.07,61.07,t1,8,5,7
1,0.0,62.0,c,6,1.2,63.2,t2,1,4,6
1,0.0,64.0,x,6,1.28,65.28,x,2,3,5
6,1.25,67.25,x,7,1.445,67.445,x,3,2,4
8,1.75,69.75,x,4,0.82,68.82,c,4,1,3
1,0.0,70.0,x,4,0.975,70.975,x,5,8,2
3,0.5,72.5,x,8,1.89,73.89,x,6,7,1
8,1.75,75.75,t2,1,0.11,74.11,x,7,6,8
3,0.5,76.5,x,1,0.08,76.08,x,8,5,7
8,1.75,79.75,x,2,0.48,78.48,x,1,4,6
2,0.25,80.25,c,7,1.515,81.515,x,2,3,5
2,0.25,82.25,t1,5,1.16,83.16,x,3,2,4
6,1.25,85.25,x,5,1.215,85.215,x,4,1,3
5,1.0,87.0,c,3,0.575,86.575,x,5,8,2
3,0.5,88.5,x,8,1.7,89.7,x,6,7,1
4,0.75,90.75,x,7,1.64,91.64,c,7,6,8
2,0.25,92.25,x,2,0.245,92.245,x,8,5,7
2,0.25,94.25,x,4,0.79,94.79,t1,1,4,6
8,1.75,97.75,x,7,1.56,97.56,x,2,3,5
7,1.5,99.5,x,2,0.29,98.29,t1,3,2,4
1,0.0,100.0,t1,1,0.18,100.18,t1,4,1,3
7,1.5,103.5,x,2,0.415,102.415,t2,5,8,2
3,0.5,104.5,x,7,1.58,105.58,t1,6,7,1
4,0.75,106.75,x,6,1.2,107.2,t1,7,6,8
7,1.5,109.5,t2,4,0.7,108.7,x,8,5,7
4,0.75,110.75,t1,8,1.935,111.935,x,1,4,6
5,1.0,113.0,t2,5,1.185,113.185,t2,2,3,5
5,1.0,115.0,x,3,0.705,114.705,c,3,2,4
2,0.25,116.25,x,2,0.38,116.38,x,4,1,3
8,1.75,119.75,t1,8,1.775,119.775,t1,5,8,2
3,0.5,120.5,x,8,1.7,121.7,x,6,7,1
6,1.25,123.25,t1,3,0.6,122.6,x,7,6,8
6,1.25,125.25,x,7,1.65,125.65,t2,8,5,7
5,1.0,127.0,x,1,0.11,126.11,c,1,4,6
