nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
6,1.25,1.25,x,2,0.3,0.3,c,2,3,5
5,1.0,3.0,x,8,1.845,3.8449999999999998,x,3,2,4
5,1.0,5.0,x,8,1.9,5.9,x,4,1,3
3,0.5,6.5,x,5,1.11,7.11,c,5,8,2
6,1.25,9.25,c,5,1.195,9.195,x,6,7,1
4,0.75,10.75,x,8,1.785,11.785,t2,7,6,8
7,1.5,13.5,t2,2,0.36,12.36,x,8,5,7
6,1.25,15.25,t2,7,1.6,15.6,x,1,4,6
7,1.5,17.5,x,3,0.735,16.735,t1,2,3,5
8,1.75,19.75,x,3,0.705,18.705,c,3,2,4
1,0.0,20.0,t1,4,0.89,20.89,c,4,1,3
5,1.0,23.0,c,6,1.27,23.27,x,5,8,2
7,1.5,25.5,t1,7,1.545,25.545,t1,6,7,1
8,1.75,27.75,t2,5,1.16,27.16,x,7,6,8
8,1.75,29.75,c,1,0.125,28.125,x,8,5,7
3,0.5,30.5,x,1,0.11,30.11,c,1,4,6
2,0.25,32.25,c,7,1.56,33.56,x,2,3,5
1,0.0,34.0,x,7,1.445,35.445,x,3,2,4
8,1.75,37.75,x,8,1.9,37.9,x,4,1,3
7,1.5,39.5,x,8,1.89,39.89,t1,5,8,2
1,0.0,40.0,t2,4,0.795,40.795,x,6,7,1
4,0.75,42.75,x,6,1.2,43.2,t1,7,6,8
4,0.75,44.75,x,1,0.08,44.08,x,8,5,7
8,1.75,47.75,x,4,0.76,46.76,t1,1,4,6
1,0.0,48.0,x,4,0.91,48.91,x,2,3,5
6,1.25,51.25,x,8,1.85,51.85,x,3,2,4
7,1.5,53.5,x,5,1.215,53.215,x,4,1,3
8,1.75,55.75,t1,3,0.575,54.575,x,5,8,2
5,1.0,57.0,x,1,0.08,56.08,t2,6,7,1
5,1.0,59.0,x,5,1.16,59.16,x,7,6,8
1,0.0,60.0,x,7,1.65,61.65,t2,8,5,7
3,0.5,62.5,x,3,0.435,62.435,x,1,4,6
8,1.75,65.75,x,7,1.56,65.56,x,2,3,5
4,0.75,66.75,t2,2,0.29,66.29,t1,3,2,4
3,0.5,68.5,t2,1,0.18,68.18,t1,4,1,3
3,0.5,70.5,x,6,1.42,71.42,x,5,8,2
3,0.5,72.5,x,4,0.795,72.795,x,6,7,1
1,0.0,74.0,x,3,0.64,74.64,x,7,6,8
1,0.0,76.0,x,8,1.775,77.775,c,8,5,7
1,0.0,78.0,c,3,0.645,78.645,x,1,4,6
5,1.0,81.0,t2,6,1.295,81.295,x,2,3,5
3,0.5,82.5,c,4,0.89,82.89,t2,3,2,4
4,0.75,84.75,c,3,0.685,84.685,t2,4,1,3
6,1.25,87.25,x,2,0.195,86.195,t2,5,8,2
2,0.25,88.25,x,3,0.675,88.675,x,6,7,1
7,1.5,91.5,c,1,-0.075,89.925,x,7,6,8
6,1.25,93.25,x,2,0.245,92.245,x,8,5,7
2,0.25,94.25,x,2,0.235,94.235,x,1,4,6
6,1.25,97.25,x,5,1.13,97.13,t2,2,3,5
2,0.25,98.25,t1,1,0.08,98.08,x,3,2,4
2,0.25,100.25,x,2,0.34,100.34,x,4,1,3
7,1.5,103.5,x,7,1.705,103.705,x,5,8,2
5,1.0,105.0,x,6,1.37,105.37,c,6,7,1
4,0.75,106.75,x,7,1.43,107.43,c,7,6,8
4,0.75,108.75,x,5,1.02,109.02,t1,8,5,7
2,0.25,110.25,x,2,0.48,110.48,x,1,4,6
3,0.5,112.5,t1,8,1.815,113.815,x,2,3,5
7,1.5,115.5,x,6,1.28,115.28,x,3,2,4
8,1.75,117.75,x,6,1.345,117.345,x,4,1,3
2,0.25,118.25,t2,1,-0.015,117.985,x,5,8,2
2,0.25,120.25,x,4,1.01,121.01,x,6,7,1
6,1.25,123.25,t1,5,1.16,123.16,x,7,6,8
5,1.0,125.0,t1,4,0.9,124.9,x,8,5,7
4,0.75,126.75,t1,6,1.2,127.2,t2,1,4,6
