nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
2,0.25,0.25,c,6,1.28,1.28,x,2,3,5
2,0.25,2.25,t1,5,0.925,2.925,x,3,2,4
2,0.25,4.25,x,4,0.82,4.82,c,4,1,3
3,0.5,6.5,x,3,0.685,6.6850000000000005,x,5,8,2
2,0.25,8.25,x,4,0.795,8.795,x,6,7,1
7,1.5,11.5,c,2,0.48,10.48,x,7,6,8
1,0.0,12.0,x,2,0.36,12.36,x,8,5,7
2,0.25,14.25,x,3,0.645,14.645,x,1,4,6
3,0.5,16.5,t1,1,0.055,16.055,x,2,3,5
6,1.25,19.25,x,5,1.16,19.16,x,3,2,4
7,1.5,21.5,x,8,1.82,21.82,x,4,1,3
6,1.25,23.25,x,2,0.195,22.195,t2,5,8,2
1,0.0,24.0,t2,3,0.675,24.675,x,6,7,1
2,0.25,26.25,x,8,1.915,27.915,t2,7,6,8
1,0.0,28.0,x,2,0.245,28.245,x,8,5,7
6,1.25,31.25,t2,4,0.79,30.79,t1,1,4,6
4,0.75,32.75,x,2,0.3,32.3,c,2,3,5
5,1.0,35.0,x,8,1.845,35.845,x,3,2,4
6,1.25,37.25,x,5,1.045,37.045,x,4,1,3
5,1.0,39.0,c,4,0.975,38.975,x,5,8,2
8,1.75,41.75,x,6,1.37,41.37,c,6,7,1
8,1.75,43.75,t2,6,1.2,43.2,t1,7,6,8
5,1.0,45.0,t1,8,1.775,45.775,c,8,5,7
1,0.0,46.0,c,7,1.6,47.6,x,1,4,6
5,1.0,49.0,t2,5,1.185,49.185,t2,2,3,5
4,0.75,50.75,t2,2,0.325,50.325,t1,3,2,4
4,0.75,52.75,c,8,1.82,53.82,x,4,1,3
2,0.25,54.25,t2,5,0.94,54.94,c,5,8,2
6,1.25,57.25,c,4,1.01,57.01,x,6,7,1
3,0.5,58.5,x,7,1.64,59.64,c,7,6,8
7,1.5,61.5,t2,3,0.545,60.545,x,8,5,7
4,0.75,62.75,t1,6,1.2,63.2,t2,1,4,6
1,0.0,64.0,x,8,1.855,65.855,x,2,3,5
3,0.5,66.5,c,6,1.215,67.215,x,3,2,4
2,0.25,68.25,x,3,0.65,68.65,t2,4,1,3
1,0.0,70.0,x,4,0.975,70.975,x,5,8,2
5,1.0,73.0,x,1,0.1,72.1,t2,6,7,1
6,1.25,75.25,t1,1,0.11,74.11,x,7,6,8
8,1.75,77.75,c,7,1.4,77.4,t2,8,5,7
8,1.75,79.75,x,7,1.6,79.6,x,1,4,6
1,0.0,80.0,x,3,0.735,80.735,t1,2,3,5
7,1.5,83.5,x,4,0.89,82.89,t2,3,2,4
3,0.5,84.5,t2,8,1.82,85.82,x,4,1,3
4,0.75,86.75,x,8,1.775,87.775,t1,5,8,2
8,1.75,89.75,x,7,1.545,89.545,t1,6,7,1
3,0.5,90.5,x,5,1.16,91.16,x,7,6,8
6,1.25,93.25,x,5,1.07,93.07,t1,8,5,7
7,1.5,95.5,x,7,1.41,95.41,x,1,4,6
4,0.75,96.75,x,1,0.0,96.0,x,2,3,5
5,1.0,99.0,x,6,1.215,99.215,x,3,2,4
1,0.0,100.0,t1,1,0.18,100.18,t1,4,1,3
4,0.75,102.75,x,6,1.42,103.42,x,5,8,2
7,1.5,105.5,t1,5,1.195,105.195,x,6,7,1
5,1.0,107.0,x,2,0.48,106.48,x,7,6,8
3,0.5,108.5,x,1,0.08,108.08,x,8,5,7
3,0.5,110.5,x,1,0.16,110.16,c,1,4,6
6,1.25,113.25,x,6,1.295,113.295,x,2,3,5
7,1.5,115.5,x,3,0.705,114.705,c,3,2,4
8,1.75,117.75,x,7,1.505,117.505,x,4,1,3
8,1.75,119.75,t1,1,-0.015,117.985,x,5,8,2
8,1.75,121.75,x,4,1.01,121.01,x,6,7,1
5,1.0,123.0,x,2,0.235,122.235,x,7,6,8
4,0.75,124.75,x,3,0.545,124.545,x,8,5,7
7,1.5,127.5,x,7,1.41,127.41,x,1,4,6
