nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
3,0.5,0.5,t1,2,0.3,0.3,c,2,3,5
6,1.25,3.25,x,7,1.445,3.4450000000000003,x,3,2,4
3,0.5,4.5,t2,8,1.9,5.9,x,4,1,3
4,0.75,6.75,x,8,1.89,7.89,t1,5,8,2
7,1.5,9.5,t1,3,0.665,8.665,x,6,7,1
6,1.25,11.25,t1,1,0.11,10.11,x,7,6,8
7,1.5,13.5,t2,1,0.08,12.08,x,8,5,7
4,0.75,14.75,t1,6,1.41,15.41,t2,1,4,6
1,0.0,16.0,x,5,1.185,17.185,t2,2,3,5
8,1.75,19.75,x,3,0.705,18.705,c,3,2,4
5,1.0,21.0,x,6,1.345,21.345,x,4,1,3
8,1.75,23.75,t1,2,0.195,22.195,t2,5,8,2
3,0.5,24.5,x,6,1.4,25.4,c,6,7,1
4,0.75,26.75,x,7,1.64,27.64,c,7,6,8
8,1.75,29.75,c,7,1.65,29.65,t2,8,5,7
7,1.5,31.5,x,8,1.75,31.75,x,1,4,6
1,0.0,32.0,x,3,0.53,32.53,t1,2,3,5
7,1.5,35.5,x,2,0.29,34.29,t1,3,2,4
7,1.5,37.5,x,4,0.82,36.82,c,4,1,3
5,1.0,39.0,c,4,0.975,38.975,x,5,8,2
6,1.25,41.25,c,1,0.1,40.1,t2,6,7,1
1,0.0,42.0,x,4,0.78,42.78,x,7,6,8
4,0.75,44.75,x,5,1.02,45.02,t1,8,5,7
6,1.25,47.25,t2,3,0.645,46.645,x,1,4,6
2,0.25,48.25,c,1,0.055,48.055,x,2,3,5
4,0.75,50.75,t2,1,-0.005,49.995,x,3,2,4
6,1.25,53.25,x,5,1.215,53.215,x,4,1,3
3,0.5,54.5,x,4,0.8,54.8,x,5,8,2
8,1.75,57.75,x,3,0.675,56.675,x,6,7,1
8,1.75,59.75,t2,4,0.815,58.815,x,7,6,8
6,1.25,61.25,x,4,0.9,60.9,x,8,5,7
2,0.25,62.25,x,5,1.085,63.085,x,1,4,6
8,1.75,65.75,x,7,1.56,65.56,x,2,3,5
2,0.25,66.25,t1,7,1.445,67.445,x,3,2,4
6,1.25,69.25,x,3,0.65,68.65,t2,4,1,3
1,0.0,70.0,x,7,1.705,71.705,x,5,8,2
2,0.25,72.25,x,8,1.89,73.89,x,6,7,1
2,0.25,74.25,x,8,1.785,75.785,t2,7,6,8
3,0.5,76.5,x,3,0.56,76.56,x,8,5,7
5,1.0,79.0,x,1,0.16,78.16,c,1,4,6
8,1.75,81.75,x,6,1.295,81.295,x,2,3,5
6,1.25,83.25,x,4,0.89,82.89,t2,3,2,4
1,0.0,84.0,t1,8,1.82,85.82,x,4,1,3
7,1.5,87.5,x,7,1.38,87.38,x,5,8,2
2,0.25,88.25,x,2,0.3,88.3,x,6,7,1
7,1.5,91.5,c,5,1.16,91.16,x,7,6,8
1,0.0,92.0,x,2,0.245,92.245,x,8,5,7
5,1.0,95.0,x,4,0.79,94.79,t1,1,4,6
7,1.5,97.5,x,6,1.28,97.28,x,2,3,5
3,0.5,98.5,c,6,1.215,99.215,x,3,2,4
2,0.25,100.25,x,1,0.18,100.18,t1,4,1,3
3,0.5,102.5,x,3,0.685,102.685,x,5,8,2
5,1.0,105.0,x,2,0.45,104.45,x,6,7,1
3,0.5,106.5,x,6,1.2,107.2,t1,7,6,8
5,1.0,109.0,t1,1,0.08,108.08,x,8,5,7
1,0.0,110.0,c,2,0.48,110.48,x,1,4,6
5,1.0,113.0,t2,6,1.295,113.295,x,2,3,5
8,1.75,115.75,x,8,1.85,115.85,x,3,2,4
4,0.75,116.75,c,5,1.215,117.215,x,4,1,3
2,0.25,118.25,t2,5,0.94,118.94,c,5,8,2
1,0.0,120.0,t2,7,1.545,121.545,t1,6,7,1
4,0.75,122.75,x,2,0.235,122.235,x,7,6,8
4,0.75,124.75,x,8,1.835,125.835,c,8,5,7
5,1.0,127.0,x,5,1.085,127.085,x,1,4,6
