nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,7,1.56,1.56,x,2,3,5
4,0.75,2.75,t2,8,1.845,3.8449999999999998,x,3,2,4
6,1.25,5.25,x,6,1.425,5.425,x,4,1,3
3,0.5,6.5,x,4,0.975,6.975,x,5,8,2
4,0.75,8.75,x,6,1.37,9.370000000000001,c,6,7,1
6,1.25,11.25,t1,2,0.48,10.48,x,7,6,8
3,0.5,12.5,x,1,0.08,12.08,x,8,5,7
2,0.25,14.25,x,5,1.105,15.105,x,1,4,6
7,1.5,17.5,x,3,0.735,16.735,t1,2,3,5
3,0.5,18.5,c,8,1.85,19.85,x,3,2,4
3,0.5,20.5,t2,5,1.215,21.215,x,4,1,3
6,1.25,23.25,x,2,0.195,22.195,t2,5,8,2
8,1.75,25.75,x,5,1.11,25.11,x,6,7,1
7,1.5,27.5,c,1,-0.075,25.925,x,7,6,8
4,0.75,28.75,x,4,0.9,28.9,x,8,5,7
1,0.0,30.0,c,7,1.41,31.41,x,1,4,6
8,1.75,33.75,x,4,0.855,32.855,x,2,3,5
2,0.25,34.25,t1,5,0.925,34.925,x,3,2,4
2,0.25,36.25,x,3,0.65,36.65,t2,4,1,3
5,1.0,39.0,c,6,1.42,39.42,x,5,8,2
6,1.25,41.25,c,7,1.58,41.58,t1,6,7,1
1,0.0,42.0,x,7,1.43,43.43,c,7,6,8
5,1.0,45.0,t1,1,0.08,44.08,x,8,5,7
4,0.75,46.75,t1,1,0.16,46.16,c,1,4,6
8,1.75,49.75,x,1,0.055,48.055,x,2,3,5
6,1.25,51.25,x,7,1.56,51.56,x,3,2,4
5,1.0,53.0,x,1,0.015,52.015,t1,4,1,3
2,0.25,54.25,t2,3,0.575,54.575,x,5,8,2
5,1.0,57.0,x,8,1.7,57.7,x,6,7,1
4,0.75,58.75,x,4,0.815,58.815,x,7,6,8
7,1.5,61.5,t2,7,1.65,61.65,t2,8,5,7
7,1.5,63.5,x,3,0.435,62.435,x,1,4,6
3,0.5,64.5,t1,6,1.28,65.28,x,2,3,5
1,0.0,66.0,x,3,0.415,66.415,c,3,2,4
2,0.25,68.25,x,5,1.045,69.045,x,4,1,3
6,1.25,71.25,x,4,0.975,70.975,x,5,8,2
5,1.0,73.0,x,1,0.1,72.1,t2,6,7,1
3,0.5,74.5,x,2,0.48,74.48,x,7,6,8
6,1.25,77.25,x,1,0.08,76.08,x,8,5,7
2,0.25,78.25,x,6,1.41,79.41,t2,1,4,6
2,0.25,80.25,c,2,0.36,80.36,c,2,3,5
8,1.75,83.75,x,2,0.325,82.325,t1,3,2,4
4,0.75,84.75,c,4,0.89,84.89,c,4,1,3
3,0.5,86.5,x,5,0.94,86.94,c,5,8,2
7,1.5,89.5,t1,2,0.3,88.3,x,6,7,1
8,1.75,91.75,t2,8,1.915,91.915,t2,7,6,8
8,1.75,93.75,c,8,1.835,93.835,c,8,5,7
6,1.25,95.25,t2,4,0.79,94.79,t1,1,4,6
5,1.0,97.0,t2,6,1.28,97.28,x,2,3,5
5,1.0,99.0,x,4,0.745,98.745,t2,3,2,4
7,1.5,101.5,x,6,1.425,101.425,x,4,1,3
8,1.75,103.75,t1,8,1.89,103.89,t1,5,8,2
1,0.0,104.0,t2,8,1.89,105.89,x,6,7,1
3,0.5,106.5,x,6,1.2,107.2,t1,7,6,8
4,0.75,108.75,x,5,1.02,109.02,t1,8,5,7
7,1.5,111.5,x,3,0.645,110.645,x,1,4,6
8,1.75,113.75,x,5,1.185,113.185,t2,2,3,5
1,0.0,114.0,x,8,1.85,115.85,x,3,2,4
1,0.0,116.0,t1,7,1.505,117.505,x,4,1,3
1,0.0,118.0,x,7,1.38,119.38,x,5,8,2
5,1.0,121.0,x,3,0.675,120.675,x,6,7,1
4,0.75,122.75,x,2,0.235,122.235,x,7,6,8
2,0.25,124.25,x,2,0.245,124.245,x,8,5,7
7,1.5,127.5,x,3,0.435,126.435,x,1,4,6
