nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,2,0.3,0.3,c,2,3,5
6,1.25,3.25,x,2,0.29,2.29,t1,3,2,4
5,1.0,5.0,x,5,1.045,5.045,x,4,1,3
6,1.25,7.25,x,6,1.42,7.42,x,5,8,2
7,1.5,9.5,t1,8,1.89,9.89,x,6,7,1
7,1.5,11.5,c,7,1.43,11.43,c,7,6,8
2,0.25,12.25,x,1,0.08,12.08,x,8,5,7
7,1.5,15.5,x,2,0.48,14.48,x,1,4,6
2,0.25,16.25,c,6,1.295,17.295,x,2,3,5
3,0.5,18.5,c,1,-0.005,17.995,x,3,2,4
8,1.75,21.75,x,4,0.89,20.89,c,4,1,3
1,0.0,22.0,x,1,-0.015,21.985,x,5,8,2
1,0.0,24.0,t2,6,1.4,25.4,c,6,7,1
3,0.5,26.5,x,5,1.16,27.16,x,7,6,8
8,1.75,29.75,c,2,0.245,28.245,x,8,5,7
2,0.25,30.25,x,3,0.435,30.435,x,1,4,6
6,1.25,33.25,x,5,1.13,33.13,t2,2,3,5
6,1.25,35.25,x,7,1.445,35.445,x,3,2,4
2,0.25,36.25,x,2,0.34,36.34,x,4,1,3
6,1.25,39.25,x,1,0.07,38.07,x,5,8,2
5,1.0,41.0,x,8,1.89,41.89,x,6,7,1
1,0.0,42.0,x,5,1.095,43.095,x,7,6,8
1,0.0,44.0,x,8,1.775,45.775,c,8,5,7
6,1.25,47.25,t2,1,0.16,46.16,c,1,4,6
7,1.5,49.5,x,6,1.295,49.295,x,2,3,5
4,0.75,50.75,t2,7,1.56,51.56,x,3,2,4
1,0.0,52.0,t1,6,1.345,53.345,x,4,1,3
5,1.0,55.0,c,8,1.775,55.775,t1,5,8,2
3,0.5,56.5,x,3,0.675,56.675,x,6,7,1
8,1.75,59.75,t2,5,1.16,59.16,x,7,6,8
7,1.5,61.5,t2,3,0.545,60.545,x,8,5,7
8,1.75,63.75,x,7,1.41,63.41,x,1,4,6
8,1.75,65.75,x,3,0.53,64.53,t1,2,3,5
5,1.0,67.0,x,1,0.08,66.08,x,3,2,4
4,0.75,68.75,c,1,0.18,68.18,t1,4,1,3
8,1.75,71.75,t1,2,0.415,70.415,t2,5,8,2
3,0.5,72.5,x,1,0.1,72.1,t2,6,7,1
6,1.25,75.25,t1,2,0.48,74.48,x,7,6,8
2,0.25,76.25,x,3,0.56,76.56,x,8,5,7
8,1.75,79.75,x,2,0.48,78.48,x,1,4,6
3,0.5,80.5,t1,8,1.815,81.815,x,2,3,5
1,0.0,82.0,x,8,1.85,83.85,x,3,2,4
3,0.5,84.5,t2,5,1.215,85.215,x,4,1,3
4,0.75,86.75,x,4,0.8,86.8,x,5,8,2
4,0.75,88.75,x,3,0.675,88.675,x,6,7,1
3,0.5,90.5,x,4,0.815,90.815,x,7,6,8
5,1.0,93.0,t1,5,1.07,93.07,t1,8,5,7
8,1.75,95.75,x,4,0.79,94.79,t1,1,4,6
1,0.0,96.0,x,8,1.855,97.855,x,2,3,5
2,0.25,98.25,t1,3,0.415,98.415,c,3,2,4
7,1.5,101.5,x,3,0.65,100.65,t2,4,1,3
7,1.5,103.5,x,4,0.975,102.975,x,5,8,2
4,0.75,104.75,x,4,0.795,104.795,x,6,7,1
5,1.0,107.0,x,6,1.2,107.2,t1,7,6,8
2,0.25,108.25,x,6,1.23,109.23,x,8,5,7
4,0.75,110.75,t1,7,1.6,111.6,x,1,4,6
4,0.75,112.75,x,4,0.91,112.91,x,2,3,5
5,1.0,115.0,x,4,0.89,114.89,t2,3,2,4
7,1.5,117.5,x,7,1.505,117.505,x,4,1,3
2,0.25,118.25,t2,5,0.94,118.94,c,5,8,2
6,1.25,121.25,c,7,1.545,121.545,t1,6,7,1
4,0.75,122.75,x,8,1.915,123.915,t2,7,6,8
3,0.5,124.5,x,7,1.65,125.65,t2,8,5,7
1,0.0,126.0,c,6,1.2,127.2,t2,1,4,6
