nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,7,1.56,1.56,x,2,3,5
3,0.5,2.5,c,5,0.925,2.925,x,3,2,4
3,0.5,4.5,t2,3,0.65,4.65,t2,4,1,3
5,1.0,7.0,c,1,0.07,6.07,x,5,8,2
2,0.25,8.25,x,3,0.665,8.665,x,6,7,1
7,1.5,11.5,c,5,1.095,11.095,x,7,6,8
7,1.5,13.5,t2,7,1.4,13.4,t2,8,5,7
4,0.75,14.75,t1,4,0.76,14.76,t1,1,4,6
6,1.25,17.25,x,6,1.295,17.295,x,2,3,5
2,0.25,18.25,t1,7,1.56,19.56,x,3,2,4
7,1.5,21.5,x,2,0.38,20.38,x,4,1,3
4,0.75,22.75,x,2,0.195,22.195,t2,5,8,2
7,1.5,25.5,t1,4,1.01,25.01,x,6,7,1
6,1.25,27.25,t1,6,1.465,27.465,t1,7,6,8
3,0.5,28.5,x,1,0.125,28.125,x,8,5,7
2,0.25,30.25,x,3,0.435,30.435,x,1,4,6
6,1.25,33.25,x,4,0.855,32.855,x,2,3,5
5,1.0,35.0,x,3,0.415,34.415,c,3,2,4
8,1.75,37.75,x,2,0.34,36.34,x,4,1,3
3,0.5,38.5,x,7,1.705,39.705,x,5,8,2
3,0.5,40.5,x,2,0.45,40.45,x,6,7,1
1,0.0,42.0,x,8,1.785,43.785,t2,7,6,8
8,1.75,45.75,c,5,1.02,45.02,t1,8,5,7
7,1.5,47.5,x,8,1.935,47.935,x,1,4,6
3,0.5,48.5,t1,2,0.36,48.36,c,2,3,5
4,0.75,50.75,t2,5,1.16,51.16,x,3,2,4
4,0.75,52.75,c,7,1.505,53.505,x,4,1,3
8,1.75,55.75,t1,6,1.27,55.27,x,5,8,2
3,0.5,56.5,x,1,0.08,56.08,t2,6,7,1
1,0.0,58.0,x,7,1.64,59.64,c,7,6,8
1,0.0,60.0,x,1,0.125,60.125,x,8,5,7
6,1.25,63.25,t2,3,0.435,62.435,x,1,4,6
8,1.75,65.75,x,7,1.56,65.56,x,2,3,5
8,1.75,67.75,x,6,1.215,67.215,x,3,2,4
2,0.25,68.25,x,1,0.18,68.18,t1,4,1,3
4,0.75,70.75,x,8,1.89,71.89,t1,5,8,2
6,1.25,73.25,c,6,1.37,73.37,c,6,7,1
4,0.75,74.75,x,1,0.11,74.11,x,7,6,8
3,0.5,76.5,x,8,1.775,77.775,c,8,5,7
7,1.5,79.5,x,8,1.935,79.935,x,1,4,6
8,1.75,81.75,x,5,1.185,81.185,t2,2,3,5
6,1.25,83.25,x,4,0.89,82.89,t2,3,2,4
1,0.0,84.0,t1,8,1.82,85.82,x,4,1,3
4,0.75,86.75,x,5,0.94,86.94,c,5,8,2
5,1.0,89.0,x,3,0.675,88.675,x,6,7,1
8,1.75,91.75,t2,1,-0.075,89.925,x,7,6,8
2,0.25,92.25,x,2,0.245,92.245,x,8,5,7
1,0.0,94.0,c,6,1.2,95.2,t2,1,4,6
2,0.25,96.25,c,3,0.53,96.53,t1,2,3,5
6,1.25,99.25,x,2,0.29,98.29,t1,3,2,4
2,0.25,100.25,x,4,0.82,100.82,c,4,1,3
2,0.25,102.25,t2,6,1.42,103.42,x,5,8,2
4,0.75,104.75,x,5,1.195,105.195,x,6,7,1
1,0.0,106.0,x,4,0.78,106.78,x,7,6,8
1,0.0,108.0,x,6,1.23,109.23,x,8,5,7
7,1.5,111.5,x,8,1.935,111.935,x,1,4,6
8,1.75,113.75,x,4,0.91,112.91,x,2,3,5
6,1.25,115.25,x,5,1.16,115.16,x,3,2,4
5,1.0,117.0,x,8,1.82,117.82,x,4,1,3
7,1.5,119.5,x,4,0.8,118.8,x,5,8,2
1,0.0,120.0,t2,7,1.545,121.545,t1,6,7,1
5,1.0,123.0,x,3,0.6,122.6,x,7,6,8
5,1.0,125.0,t1,2,0.245,124.245,x,8,5,7
5,1.0,127.0,x,1,0.11,126.11,c,1,4,6
