nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,1,0.0,0.0,x,2,3,5
8,1.75,3.75,x,2,0.29,2.29,t1,3,2,4
2,0.25,4.25,x,6,1.425,5.425,x,4,1,3
8,1.75,7.75,t1,4,0.975,6.975,x,5,8,2
8,1.75,9.75,x,3,0.665,8.665,x,6,7,1
1,0.0,10.0,x,2,0.48,10.48,x,7,6,8
7,1.5,13.5,t2,5,1.02,13.02,t1,8,5,7
5,1.0,15.0,x,1,0.16,14.16,c,1,4,6
6,1.25,17.25,x,8,1.815,17.815,x,2,3,5
3,0.5,18.5,c,1,-0.005,17.995,x,3,2,4
7,1.5,21.5,x,2,0.38,20.38,x,4,1,3
6,1.25,23.25,x,7,1.38,23.38,x,5,8,2
1,0.0,24.0,t2,8,1.7,25.7,x,6,7,1
2,0.25,26.25,x,7,1.64,27.64,c,7,6,8
8,1.75,29.75,c,6,1.355,29.355,x,8,5,7
6,1.25,31.25,t2,6,1.2,31.2,t2,1,4,6
3,0.5,32.5,t1,1,0.0,32.0,x,2,3,5
4,0.75,34.75,t2,5,0.925,34.925,x,3,2,4
1,0.0,36.0,t1,3,0.65,36.65,t2,4,1,3
4,0.75,38.75,x,1,0.07,38.07,x,5,8,2
4,0.75,40.75,x,6,1.37,41.37,c,6,7,1
7,1.5,43.5,c,1,0.11,42.11,x,7,6,8
2,0.25,44.25,x,6,1.23,45.23,x,8,5,7
8,1.75,47.75,x,3,0.645,46.645,x,1,4,6
6,1.25,49.25,x,6,1.295,49.295,x,2,3,5
2,0.25,50.25,t1,7,1.56,51.56,x,3,2,4
5,1.0,53.0,x,2,0.38,52.38,x,4,1,3
4,0.75,54.75,x,5,0.94,54.94,c,5,8,2
7,1.5,57.5,t1,7,1.545,57.545,t1,6,7,1
1,0.0,58.0,x,5,1.16,59.16,x,7,6,8
2,0.25,60.25,x,4,0.9,60.9,x,8,5,7
3,0.5,62.5,x,7,1.41,63.41,x,1,4,6
7,1.5,65.5,x,3,0.53,64.53,t1,2,3,5
8,1.75,67.75,x,3,0.415,66.415,c,3,2,4
8,1.75,69.75,x,1,0.18,68.18,t1,4,1,3
6,1.25,71.25,x,6,1.42,71.42,x,5,8,2
6,1.25,73.25,c,2,0.45,72.45,x,6,7,1
3,0.5,74.5,x,4,0.78,74.78,x,7,6,8
1,0.0,76.0,x,7,1.4,77.4,t2,8,5,7
5,1.0,79.0,x,3,0.645,78.645,x,1,4,6
2,0.25,80.25,c,4,0.91,80.91,x,2,3,5
6,1.25,83.25,x,5,1.16,83.16,x,3,2,4
3,0.5,84.5,t2,8,1.82,85.82,x,4,1,3
5,1.0,87.0,c,2,0.195,86.195,t2,5,8,2
4,0.75,88.75,x,1,0.08,88.08,t2,6,7,1
8,1.75,91.75,t2,6,1.465,91.465,t1,7,6,8
3,0.5,92.5,x,4,0.9,92.9,x,8,5,7
2,0.25,94.25,x,4,0.79,94.79,t1,1,4,6
1,0.0,96.0,x,5,1.13,97.13,t2,2,3,5
7,1.5,99.5,x,4,0.745,98.745,t2,3,2,4
4,0.75,100.75,c,4,0.82,100.82,c,4,1,3
2,0.25,102.25,t2,8,1.89,103.89,t1,5,8,2
4,0.75,104.75,x,3,0.665,104.665,x,6,7,1
6,1.25,107.25,t1,5,1.095,107.095,x,7,6,8
1,0.0,108.0,x,3,0.56,108.56,x,8,5,7
4,0.75,110.75,t1,7,1.6,111.6,x,1,4,6
7,1.5,113.5,x,2,0.36,112.36,c,2,3,5
7,1.5,115.5,x,8,1.85,115.85,x,3,2,4
5,1.0,117.0,x,2,0.38,116.38,x,4,1,3
3,0.5,118.5,x,7,1.38,119.38,x,5,8,2
5,1.0,121.0,x,5,1.11,121.11,x,6,7,1
3,0.5,122.5,x,8,1.915,123.915,t2,7,6,8
5,1.0,125.0,t1,8,1.835,125.835,c,8,5,7
1,0.0,126.0,c,8,1.75,127.75,x,1,4,6
