nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
6,1.25,1.25,x,5,1.13,1.13,t2,2,3,5
3,0.5,2.5,c,8,1.845,3.8449999999999998,x,3,2,4
3,0.5,4.5,t2,3,0.65,4.65,t2,4,1,3
4,0.75,6.75,x,4,0.975,6.975,x,5,8,2
3,0.5,8.5,x,6,1.37,9.370000000000001,c,6,7,1
1,0.0,10.0,x,8,1.785,11.785,t2,7,6,8
6,1.25,13.25,x,8,1.775,13.775,c,8,5,7
4,0.75,14.75,t1,6,1.41,15.41,t2,1,4,6
1,0.0,16.0,x,8,1.815,17.815,x,2,3,5
8,1.75,19.75,x,2,0.325,18.325,t1,3,2,4
7,1.5,21.5,x,2,0.38,20.38,x,4,1,3
5,1.0,23.0,c,4,0.8,22.8,x,5,8,2
1,0.0,24.0,t2,8,1.7,25.7,x,6,7,1
1,0.0,26.0,x,1,-0.075,25.925,x,7,6,8
5,1.0,29.0,t1,2,0.245,28.245,x,8,5,7
7,1.5,31.5,x,7,1.41,31.41,x,1,4,6
8,1.75,33.75,x,7,1.56,33.56,x,2,3,5
6,1.25,35.25,x,4,0.745,34.745,t2,3,2,4
2,0.25,36.25,x,6,1.425,37.425,x,4,1,3
2,0.25,38.25,t2,3,0.685,38.685,x,5,8,2
8,1.75,41.75,x,1,0.1,40.1,t2,6,7,1
5,1.0,43.0,x,7,1.43,43.43,c,7,6,8
4,0.75,44.75,x,7,1.4,45.4,t2,8,5,7
5,1.0,47.0,x,4,0.76,46.76,t1,1,4,6
3,0.5,48.5,t1,4,0.91,48.91,x,2,3,5
2,0.25,50.25,t1,6,1.28,51.28,x,3,2,4
4,0.75,52.75,c,4,0.89,52.89,c,4,1,3
8,1.75,55.75,t1,6,1.27,55.27,x,5,8,2
7,1.5,57.5,t1,7,1.545,57.545,t1,6,7,1
6,1.25,59.25,t1,6,1.465,59.465,t1,7,6,8
4,0.75,60.75,x,1,0.125,60.125,x,8,5,7
2,0.25,62.25,x,2,0.235,62.235,x,1,4,6
5,1.0,65.0,t2,2,0.3,64.3,c,2,3,5
1,0.0,66.0,x,3,0.415,66.415,c,3,2,4
1,0.0,68.0,t1,7,1.705,69.705,x,4,1,3
3,0.5,70.5,x,5,1.11,71.11,c,5,8,2
3,0.5,72.5,x,3,0.665,72.665,x,6,7,1
8,1.75,75.75,t2,2,0.48,74.48,x,7,6,8
8,1.75,77.75,c,5,1.02,77.02,t1,8,5,7
3,0.5,78.5,x,3,0.645,78.645,x,1,4,6
2,0.25,80.25,c,4,0.91,80.91,x,2,3,5
8,1.75,83.75,x,6,1.28,83.28,x,3,2,4
5,1.0,85.0,x,7,1.505,85.505,x,4,1,3
4,0.75,86.75,x,2,0.195,86.195,t2,5,8,2
2,0.25,88.25,x,5,1.11,89.11,x,6,7,1
4,0.75,90.75,x,1,-0.075,89.925,x,7,6,8
1,0.0,92.0,x,3,0.545,92.545,x,8,5,7
1,0.0,94.0,c,5,1.085,95.085,x,1,4,6
7,1.5,97.5,x,7,1.56,97.56,x,2,3,5
4,0.75,98.75,t2,1,0.08,98.08,x,3,2,4
5,1.0,101.0,x,1,0.18,100.18,t1,4,1,3
7,1.5,103.5,x,8,1.89,103.89,t1,5,8,2
6,1.25,105.25,c,5,1.195,105.195,x,6,7,1
7,1.5,107.5,c,5,1.095,107.095,x,7,6,8
7,1.5,109.5,t2,1,0.08,108.08,x,8,5,7
3,0.5,110.5,x,8,1.935,111.935,x,1,4,6
8,1.75,113.75,x,3,0.735,112.735,t1,2,3,5
5,1.0,115.0,x,6,1.28,115.28,x,3,2,4
7,1.5,117.5,x,5,1.215,117.215,x,4,1,3
6,1.25,119.25,x,3,0.575,118.575,x,5,8,2
2,0.25,120.25,x,8,1.7,121.7,x,6,7,1
2,0.25,122.25,x,4,0.815,122.815,x,7,6,8
6,1.25,125.25,x,2,0.245,124.245,x,8,5,7
6,1.25,127.25,t2,1,0.11,126.11,c,1,4,6
