nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,1,0.0,0.0,x,2,3,5
6,1.25,3.25,x,8,1.845,3.8449999999999998,x,3,2,4
1,0.0,4.0,t1,6,1.425,5.425,x,4,1,3
1,0.0,6.0,x,8,1.89,7.89,t1,5,8,2
1,0.0,8.0,t2,3,0.665,8.665,x,6,7,1
1,0.0,10.0,x,2,0.48,10.48,x,7,6,8
4,0.75,12.75,x,3,0.56,12.56,x,8,5,7
7,1.5,15.5,x,6,1.41,15.41,t2,1,4,6
3,0.5,16.5,t1,3,0.735,16.735,t1,2,3,5
6,1.25,19.25,x,2,0.325,18.325,t1,3,2,4
8,1.75,21.75,x,1,0.015,20.015,t1,4,1,3
8,1.75,23.75,t1,5,0.94,22.94,c,5,8,2
5,1.0,25.0,x,5,1.11,25.11,x,6,7,1
6,1.25,27.25,t1,4,0.815,26.815,x,7,6,8
7,1.5,29.5,t2,6,1.355,29.355,x,8,5,7
1,0.0,30.0,c,3,0.435,30.435,x,1,4,6
6,1.25,33.25,x,4,0.855,32.855,x,2,3,5
3,0.5,34.5,c,6,1.215,35.215,x,3,2,4
2,0.25,36.25,x,7,1.705,37.705,x,4,1,3
7,1.5,39.5,x,1,0.07,38.07,x,5,8,2
6,1.25,41.25,c,8,1.89,41.89,x,6,7,1
2,0.25,42.25,x,2,0.48,42.48,x,7,6,8
4,0.75,44.75,x,7,1.4,45.4,t2,8,5,7
4,0.75,46.75,t1,5,1.105,47.105,x,1,4,6
4,0.75,48.75,x,8,1.815,49.815,x,2,3,5
1,0.0,50.0,x,4,0.89,50.89,t2,3,2,4
4,0.75,52.75,c,3,0.685,52.685,t2,4,1,3
4,0.75,54.75,x,2,0.195,54.195,t2,5,8,2
2,0.25,56.25,x,3,0.675,56.675,x,6,7,1
8,1.75,59.75,t2,2,0.235,58.235,x,7,6,8
2,0.25,60.25,x,3,0.545,60.545,x,8,5,7
3,0.5,62.5,x,2,0.235,62.235,x,1,4,6
5,1.0,65.0,t2,5,1.13,65.13,t2,2,3,5
4,0.75,66.75,t2,3,0.415,66.415,c,3,2,4
3,0.5,68.5,t2,2,0.34,68.34,x,4,1,3
2,0.25,70.25,t2,7,1.705,71.705,x,5,8,2
8,1.75,73.75,x,7,1.58,73.58,t1,6,7,1
2,0.25,74.25,x,6,1.2,75.2,t1,7,6,8
5,1.0,77.0,t1,8,1.775,77.775,c,8,5,7
3,0.5,78.5,x,5,1.105,79.105,x,1,4,6
4,0.75,80.75,x,1,0.055,80.055,x,2,3,5
1,0.0,82.0,x,8,1.85,83.85,x,3,2,4
8,1.75,85.75,x,8,1.82,85.82,x,4,1,3
6,1.25,87.25,x,6,1.27,87.27,x,5,8,2
7,1.5,89.5,t1,6,1.4,89.4,c,6,7,1
7,1.5,91.5,c,8,1.915,91.915,t2,7,6,8
8,1.75,93.75,c,1,0.125,92.125,x,8,5,7
5,1.0,95.0,x,7,1.41,95.41,x,1,4,6
2,0.25,96.25,c,6,1.28,97.28,x,2,3,5
2,0.25,98.25,t1,5,0.925,98.925,x,3,2,4
7,1.5,101.5,x,4,0.82,100.82,c,4,1,3
6,1.25,103.25,x,4,0.975,102.975,x,5,8,2
3,0.5,104.5,x,5,1.195,105.195,x,6,7,1
5,1.0,107.0,x,7,1.43,107.43,c,7,6,8
3,0.5,108.5,x,5,1.02,109.02,t1,8,5,7
8,1.75,111.75,x,4,0.76,110.76,t1,1,4,6
8,1.75,113.75,x,2,0.36,112.36,c,2,3,5
7,1.5,115.5,x,1,-0.005,113.995,x,3,2,4
7,1.5,117.5,x,7,1.505,117.505,x,4,1,3
5,1.0,119.0,c,7,1.38,119.38,x,5,8,2
5,1.0,121.0,x,1,0.08,120.08,t2,6,7,1
5,1.0,123.0,x,4,0.815,122.815,x,7,6,8
3,0.5,124.5,x,4,0.9,124.9,x,8,5,7
6,1.25,127.25,t2,1,0.11,126.11,c,1,4,6
