nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,6,1.28,1.28,x,2,3,5
4,0.75,2.75,t2,8,1.845,3.8449999999999998,x,3,2,4
5,1.0,5.0,x,8,1.9,5.9,x,4,1,3
2,0.25,6.25,t2,1,0.07,6.07,x,5,8,2
7,1.5,9.5,t1,6,1.37,9.370000000000001,c,6,7,1
2,0.25,10.25,x,4,0.78,10.78,x,7,6,8
7,1.5,13.5,t2,6,1.23,13.23,x,8,5,7
2,0.25,14.25,x,6,1.41,15.41,t2,1,4,6
6,1.25,17.25,x,1,0.055,16.055,x,2,3,5
1,0.0,18.0,x,6,1.28,19.28,x,3,2,4
2,0.25,20.25,x,8,1.82,21.82,x,4,1,3
8,1.75,23.75,t1,7,1.38,23.38,x,5,8,2
5,1.0,25.0,x,4,1.01,25.01,x,6,7,1
1,0.0,26.0,x,7,1.64,27.64,c,7,6,8
3,0.5,28.5,x,5,1.07,29.07,t1,8,5,7
8,1.75,31.75,x,3,0.435,30.435,x,1,4,6
6,1.25,33.25,x,2,0.3,32.3,c,2,3,5
3,0.5,34.5,c,2,0.29,34.29,t1,3,2,4
2,0.25,36.25,x,4,0.82,36.82,c,4,1,3
5,1.0,39.0,c,2,0.415,38.415,t2,5,8,2
1,0.0,40.0,t2,1,0.1,40.1,t2,6,7,1
3,0.5,42.5,x,1,0.11,42.11,x,7,6,8
3,0.5,44.5,x,2,0.36,44.36,x,8,5,7
4,0.75,46.75,t1,3,0.645,46.645,x,1,4,6
7,1.5,49.5,x,5,1.185,49.185,t2,2,3,5
8,1.75,51.75,x,1,-0.005,49.995,x,3,2,4
6,1.25,53.25,x,1,0.015,52.015,t1,4,1,3
6,1.25,55.25,x,1,-0.015,53.985,x,5,8,2
8,1.75,57.75,x,5,1.11,57.11,x,6,7,1
8,1.75,59.75,t2,8,1.915,59.915,t2,7,6,8
4,0.75,60.75,x,7,1.65,61.65,t2,8,5,7
1,0.0,62.0,c,4,0.79,62.79,t1,1,4,6
1,0.0,64.0,x,3,0.53,64.53,t1,2,3,5
7,1.5,67.5,x,3,0.415,66.415,c,3,2,4
4,0.75,68.75,c,8,1.9,69.9,x,4,1,3
4,0.75,70.75,x,5,1.11,71.11,c,5,8,2
5,1.0,73.0,x,7,1.58,73.58,t1,6,7,1
4,0.75,74.75,x,6,1.2,75.2,t1,7,6,8
6,1.25,77.25,x,6,1.23,77.23,x,8,5,7
6,1.25,79.25,t2,3,0.645,78.645,x,1,4,6
7,1.5,81.5,x,7,1.515,81.515,x,2,3,5
8,1.75,83.75,x,8,1.85,83.85,x,3,2,4
3,0.5,84.5,t2,5,1.215,85.215,x,4,1,3
7,1.5,87.5,x,8,1.775,87.775,t1,5,8,2
4,0.75,88.75,x,5,1.11,89.11,x,6,7,1
2,0.25,90.25,x,2,0.235,90.235,x,7,6,8
8,1.75,93.75,c,6,1.355,93.355,x,8,5,7
3,0.5,94.5,x,1,0.11,94.11,c,1,4,6
3,0.5,96.5,t1,7,1.56,97.56,x,2,3,5
8,1.75,99.75,x,7,1.445,99.445,x,3,2,4
7,1.5,101.5,x,2,0.34,100.34,x,4,1,3
1,0.0,102.0,x,3,0.685,102.685,x,5,8,2
5,1.0,105.0,x,4,0.795,104.795,x,6,7,1
6,1.25,107.25,t1,5,1.095,107.095,x,7,6,8
5,1.0,109.0,t1,4,0.7,108.7,x,8,5,7
5,1.0,111.0,x,5,1.105,111.105,x,1,4,6
2,0.25,112.25,c,7,1.515,113.515,x,2,3,5
2,0.25,114.25,t1,4,0.89,114.89,t2,3,2,4
1,0.0,116.0,t1,3,0.685,116.685,t2,4,1,3
1,0.0,118.0,x,4,0.8,118.8,x,5,8,2
6,1.25,121.25,c,2,0.3,120.3,x,6,7,1
7,1.5,123.5,c,3,0.6,122.6,x,7,6,8
4,0.75,124.75,x,8,1.835,125.835,c,8,5,7
3,0.5,126.5,x,2,0.235,126.235,x,1,4,6
