nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,5,1.13,1.13,t2,2,3,5
3,0.5,2.5,c,7,1.445,3.4450000000000003,x,3,2,4
3,0.5,4.5,t2,8,1.9,5.9,x,4,1,3
1,0.0,6.0,x,3,0.685,6.6850000000000005,x,5,8,2
7,1.5,9.5,t1,2,0.45,8.45,x,6,7,1
8,1.75,11.75,t2,4,0.78,10.78,x,7,6,8
5,1.0,13.0,t1,1,0.08,12.08,x,8,5,7
6,1.25,15.25,t2,4,0.76,14.76,t1,1,4,6
4,0.75,16.75,x,4,0.91,16.91,x,2,3,5
7,1.5,19.5,x,2,0.325,18.325,t1,3,2,4
7,1.5,21.5,x,7,1.505,21.505,x,4,1,3
4,0.75,22.75,x,5,0.94,22.94,c,5,8,2
3,0.5,24.5,x,7,1.545,25.545,t1,6,7,1
2,0.25,26.25,x,1,-0.075,25.925,x,7,6,8
2,0.25,28.25,x,7,1.65,29.65,t2,8,5,7
7,1.5,31.5,x,3,0.435,30.435,x,1,4,6
4,0.75,32.75,x,3,0.53,32.53,t1,2,3,5
2,0.25,34.25,t1,4,0.745,34.745,t2,3,2,4
1,0.0,36.0,t1,5,1.045,37.045,x,4,1,3
1,0.0,38.0,x,2,0.415,38.415,t2,5,8,2
3,0.5,40.5,x,3,0.665,40.665,x,6,7,1
5,1.0,43.0,x,3,0.64,42.64,x,7,6,8
2,0.25,44.25,x,5,1.02,45.02,t1,8,5,7
8,1.75,47.75,x,6,1.41,47.41,t2,1,4,6
8,1.75,49.75,x,8,1.815,49.815,x,2,3,5
1,0.0,50.0,x,3,0.705,50.705,c,3,2,4
5,1.0,53.0,x,5,1.215,53.215,x,4,1,3
3,0.5,54.5,x,8,1.775,55.775,t1,5,8,2
3,0.5,56.5,x,6,1.4,57.4,c,6,7,1
4,0.75,58.75,x,4,0.815,58.815,x,7,6,8
7,1.5,61.5,t2,2,0.245,60.245,x,8,5,7
3,0.5,62.5,x,5,1.085,63.085,x,1,4,6
2,0.25,64.25,c,2,0.3,64.3,c,2,3,5
8,1.75,67.75,x,1,0.08,66.08,x,3,2,4
6,1.25,69.25,x,1,0.18,68.18,t1,4,1,3
8,1.75,71.75,t1,7,1.705,71.705,x,5,8,2
6,1.25,73.25,c,3,0.665,72.665,x,6,7,1
1,0.0,74.0,x,7,1.43,75.43,c,7,6,8
2,0.25,76.25,x,1,0.08,76.08,x,8,5,7
5,1.0,79.0,x,2,0.48,78.48,x,1,4,6
3,0.5,80.5,t1,1,0.055,80.055,x,2,3,5
8,1.75,83.75,x,7,1.56,83.56,x,3,2,4
4,0.75,84.75,c,8,1.82,85.82,x,4,1,3
5,1.0,87.0,c,7,1.38,87.38,x,5,8,2
5,1.0,89.0,x,8,1.7,89.7,x,6,7,1
7,1.5,91.5,c,8,1.915,91.915,t2,7,6,8
2,0.25,92.25,x,6,1.355,93.355,x,8,5,7
1,0.0,94.0,c,5,1.085,95.085,x,1,4,6
6,1.25,97.25,x,6,1.28,97.28,x,2,3,5
8,1.75,99.75,x,6,1.215,99.215,x,3,2,4
7,1.5,101.5,x,4,0.82,100.82,c,4,1,3
6,1.25,103.25,x,6,1.42,103.42,x,5,8,2
5,1.0,105.0,x,1,0.1,104.1,t2,6,7,1
6,1.25,107.25,t1,5,1.095,107.095,x,7,6,8
8,1.75,109.75,c,8,1.775,109.775,c,8,5,7
7,1.5,111.5,x,8,1.935,111.935,x,1,4,6
1,0.0,112.0,x,4,0.91,112.91,x,2,3,5
4,0.75,114.75,t2,6,1.28,115.28,x,3,2,4
6,1.25,117.25,x,3,0.685,116.685,t2,4,1,3
2,0.25,118.25,t2,4,0.8,118.8,x,5,8,2
1,0.0,120.0,t2,2,0.3,120.3,x,6,7,1
4,0.75,122.75,x,6,1.465,123.465,t1,7,6,8
6,1.25,125.25,x,2,0.245,124.245,x,8,5,7
4,0.75,126.75,t1,1,0.11,126.11,c,1,4,6
