nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
2,0.25,0.25,c,8,1.855,1.855,x,2,3,5
8,1.75,3.75,x,3,0.415,2.415,c,3,2,4
3,0.5,4.5,t2,4,0.82,4.82,c,4,1,3
1,0.0,6.0,x,5,1.11,7.11,c,5,8,2
1,0.0,8.0,t2,2,0.45,8.45,x,6,7,1
5,1.0,11.0,x,6,1.2,11.2,t1,7,6,8
5,1.0,13.0,t1,6,1.23,13.23,x,8,5,7
2,0.25,14.25,x,5,1.105,15.105,x,1,4,6
6,1.25,17.25,x,2,0.36,16.36,c,2,3,5
5,1.0,19.0,x,1,-0.005,17.995,x,3,2,4
5,1.0,21.0,x,5,1.215,21.215,x,4,1,3
5,1.0,23.0,c,7,1.38,23.38,x,5,8,2
8,1.75,25.75,x,6,1.4,25.4,c,6,7,1
3,0.5,26.5,x,1,-0.075,25.925,x,7,6,8
4,0.75,28.75,x,4,0.9,28.9,x,8,5,7
6,1.25,31.25,t2,3,0.435,30.435,x,1,4,6
6,1.25,33.25,x,1,0.0,32.0,x,2,3,5
1,0.0,34.0,x,4,0.745,34.745,t2,3,2,4
7,1.5,37.5,x,7,1.705,37.705,x,4,1,3
8,1.75,39.75,t1,4,0.975,38.975,x,5,8,2
6,1.25,41.25,c,1,0.1,40.1,t2,6,7,1
7,1.5,43.5,c,2,0.48,42.48,x,7,6,8
8,1.75,45.75,c,8,1.775,45.775,c,8,5,7
1,0.0,46.0,c,3,0.645,46.645,x,1,4,6
5,1.0,49.0,t2,4,0.91,48.91,x,2,3,5
3,0.5,50.5,c,6,1.28,51.28,x,3,2,4
1,0.0,52.0,t1,3,0.685,52.685,t2,4,1,3
3,0.5,54.5,x,8,1.775,55.775,t1,5,8,2
2,0.25,56.25,x,8,1.7,57.7,x,6,7,1
6,1.25,59.25,t1,2,0.235,58.235,x,7,6,8
4,0.75,60.75,x,7,1.65,61.65,t2,8,5,7
3,0.5,62.5,x,4,0.79,62.79,t1,1,4,6
4,0.75,64.75,x,6,1.28,65.28,x,2,3,5
2,0.25,66.25,t1,8,1.845,67.845,x,3,2,4
2,0.25,68.25,x,7,1.705,69.705,x,4,1,3
7,1.5,71.5,x,6,1.42,71.42,x,5,8,2
3,0.5,72.5,x,8,1.89,73.89,x,6,7,1
2,0.25,74.25,x,1,0.11,74.11,x,7,6,8
6,1.25,77.25,x,3,0.56,76.56,x,8,5,7
3,0.5,78.5,x,3,0.645,78.645,x,1,4,6
6,1.25,81.25,x,3,0.735,80.735,t1,2,3,5
8,1.75,83.75,x,1,-0.005,81.995,x,3,2,4
4,0.75,84.75,c,7,1.505,85.505,x,4,1,3
2,0.25,86.25,t2,4,0.8,86.8,x,5,8,2
8,1.75,89.75,x,5,1.11,89.11,x,6,7,1
8,1.75,91.75,t2,7,1.64,91.64,c,7,6,8
4,0.75,92.75,x,6,1.355,93.355,x,8,5,7
4,0.75,94.75,t1,6,1.2,95.2,t2,1,4,6
6,1.25,97.25,x,5,1.13,97.13,t2,2,3,5
4,0.75,98.75,t2,2,0.29,98.29,t1,3,2,4
7,1.5,101.5,x,1,0.18,100.18,t1,4,1,3
4,0.75,102.75,x,2,0.415,102.415,t2,5,8,2
7,1.5,105.5,t1,2,0.45,104.45,x,6,7,1
1,0.0,106.0,x,4,0.78,106.78,x,7,6,8
7,1.5,109.5,t2,2,0.36,108.36,x,8,5,7
7,1.5,111.5,x,1,0.16,110.16,c,1,4,6
3,0.5,112.5,t1,8,1.815,113.815,x,2,3,5
8,1.75,115.75,x,5,1.16,115.16,x,3,2,4
5,1.0,117.0,x,5,1.215,117.215,x,4,1,3
1,0.0,118.0,x,7,1.38,119.38,x,5,8,2
5,1.0,121.0,x,7,1.545,121.545,t1,6,7,1
1,0.0,122.0,x,8,1.915,123.915,t2,7,6,8
2,0.25,124.25,x,5,1.07,125.07,t1,8,5,7
7,1.5,127.5,x,3,0.435,126.435,x,1,4,6
