nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,4,0.855,0.855,x,2,3,5
5,1.0,3.0,x,3,0.415,2.415,c,3,2,4
7,1.5,5.5,x,3,0.65,4.65,t2,4,1,3
6,1.25,7.25,x,1,0.07,6.07,x,5,8,2
4,0.75,8.75,x,8,1.89,9.89,x,6,7,1
8,1.75,11.75,t2,1,0.11,10.11,x,7,6,8
6,1.25,13.25,x,8,1.775,13.775,c,8,5,7
2,0.25,14.25,x,5,1.105,15.105,x,1,4,6
8,1.75,17.75,x,6,1.295,17.295,x,2,3,5
8,1.75,19.75,x,1,-0.005,17.995,x,3,2,4
4,0.75,20.75,c,5,1.215,21.215,x,4,1,3
3,0.5,22.5,x,8,1.775,23.775,t1,5,8,2
6,1.25,25.25,c,6,1.4,25.4,c,6,7,1
2,0.25,26.25,x,1,-0.075,25.925,x,7,6,8
8,1.75,29.75,c,4,0.9,28.9,x,8,5,7
5,1.0,31.0,x,6,1.2,31.2,t2,1,4,6
5,1.0,33.0,t2,8,1.855,33.855,x,2,3,5
6,1.25,35.25,x,8,1.845,35.845,x,3,2,4
2,0.25,36.25,x,2,0.34,36.34,x,4,1,3
6,1.25,39.25,x,5,1.11,39.11,c,5,8,2
4,0.75,40.75,x,5,1.195,41.195,x,6,7,1
6,1.25,43.25,t1,8,1.785,43.785,t2,7,6,8
6,1.25,45.25,x,2,0.36,44.36,x,8,5,7
6,1.25,47.25,t2,1,0.16,46.16,c,1,4,6
8,1.75,49.75,x,3,0.735,48.735,t1,2,3,5
3,0.5,50.5,c,7,1.56,51.56,x,3,2,4
3,0.5,52.5,t2,1,0.015,52.015,t1,4,1,3
4,0.75,54.75,x,6,1.27,55.27,x,5,8,2
7,1.5,57.5,t1,2,0.3,56.3,x,6,7,1
1,0.0,58.0,x,6,1.465,59.465,t1,7,6,8
3,0.5,60.5,x,2,0.245,60.245,x,8,5,7
4,0.75,62.75,t1,7,1.41,63.41,x,1,4,6
4,0.75,64.75,x,2,0.3,64.3,c,2,3,5
5,1.0,67.0,x,6,1.215,67.215,x,3,2,4
2,0.25,68.25,x,5,1.045,69.045,x,4,1,3
5,1.0,71.0,c,2,0.415,70.415,t2,5,8,2
1,0.0,72.0,t2,1,0.1,72.1,t2,6,7,1
7,1.5,75.5,c,3,0.64,74.64,x,7,6,8
1,0.0,76.0,x,6,1.23,77.23,x,8,5,7
7,1.5,79.5,x,7,1.6,79.6,x,1,4,6
2,0.25,80.25,c,1,0.055,80.055,x,2,3,5
1,0.0,82.0,x,8,1.85,83.85,x,3,2,4
7,1.5,85.5,x,4,0.89,84.89,c,4,1,3
8,1.75,87.75,t1,6,1.27,87.27,x,5,8,2
3,0.5,88.5,x,7,1.545,89.545,t1,6,7,1
1,0.0,90.0,x,4,0.815,90.815,x,7,6,8
5,1.0,93.0,t1,7,1.65,93.65,t2,8,5,7
7,1.5,95.5,x,3,0.435,94.435,x,1,4,6
3,0.5,96.5,t1,5,1.13,97.13,t2,2,3,5
4,0.75,98.75,t2,4,0.745,98.745,t2,3,2,4
1,0.0,100.0,t1,5,1.045,101.045,x,4,1,3
2,0.25,102.25,t2,4,0.975,102.975,x,5,8,2
8,1.75,105.75,x,8,1.89,105.89,x,6,7,1
5,1.0,107.0,x,4,0.78,106.78,x,7,6,8
2,0.25,108.25,x,5,1.02,109.02,t1,8,5,7
7,1.5,111.5,x,4,0.76,110.76,t1,1,4,6
8,1.75,113.75,x,7,1.515,113.515,x,2,3,5
2,0.25,114.25,t1,2,0.325,114.325,t1,3,2,4
5,1.0,117.0,x,7,1.505,117.505,x,4,1,3
3,0.5,118.5,x,3,0.575,118.575,x,5,8,2
3,0.5,120.5,x,3,0.675,120.675,x,6,7,1
4,0.75,122.75,x,7,1.64,123.64,c,7,6,8
7,1.5,125.5,t2,2,0.245,124.245,x,8,5,7
1,0.0,126.0,c,3,0.435,126.435,x,1,4,6
