nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
8,1.75,1.75,x,7,1.56,1.56,x,2,3,5
8,1.75,3.75,x,1,0.08,2.08,x,3,2,4
3,0.5,4.5,t2,6,1.425,5.425,x,4,1,3
6,1.25,7.25,x,7,1.705,7.705,x,5,8,2
8,1.75,9.75,x,3,0.665,8.665,x,6,7,1
6,1.25,11.25,t1,4,0.78,10.78,x,7,6,8
4,0.75,12.75,x,1,0.08,12.08,x,8,5,7
5,1.0,15.0,x,4,0.76,14.76,t1,1,4,6
2,0.25,16.25,c,7,1.515,17.515,x,2,3,5
3,0.5,18.5,c,5,1.16,19.16,x,3,2,4
5,1.0,21.0,x,1,0.015,20.015,t1,4,1,3
8,1.75,23.75,t1,5,0.94,22.94,c,5,8,2
7,1.5,25.5,t1,1,0.08,24.08,t2,6,7,1
2,0.25,26.25,x,2,0.235,26.235,x,7,6,8
5,1.0,29.0,t1,7,1.65,29.65,t2,8,5,7
5,1.0,31.0,x,1,0.11,30.11,c,1,4,6
1,0.0,32.0,x,3,0.53,32.53,t1,2,3,5
7,1.5,35.5,x,1,0.08,34.08,x,3,2,4
5,1.0,37.0,x,3,0.65,36.65,t2,4,1,3
6,1.25,39.25,x,3,0.685,38.685,x,5,8,2
3,0.5,40.5,x,7,1.58,41.58,t1,6,7,1
1,0.0,42.0,x,2,0.48,42.48,x,7,6,8
3,0.5,44.5,x,6,1.23,45.23,x,8,5,7
4,0.75,46.75,t1,5,1.105,47.105,x,1,4,6
6,1.25,49.25,x,8,1.815,49.815,x,2,3,5
1,0.0,50.0,x,4,0.89,50.89,t2,3,2,4
7,1.5,53.5,x,2,0.38,52.38,x,4,1,3
4,0.75,54.75,x,3,0.575,54.575,x,5,8,2
1,0.0,56.0,t2,4,1.01,57.01,x,6,7,1
1,0.0,58.0,x,7,1.64,59.64,c,7,6,8
3,0.5,60.5,x,8,1.835,61.835,c,8,5,7
1,0.0,62.0,c,8,1.75,63.75,x,1,4,6
3,0.5,64.5,t1,5,1.13,65.13,t2,2,3,5
4,0.75,66.75,t2,3,0.415,66.415,c,3,2,4
4,0.75,68.75,c,4,0.82,68.82,c,4,1,3
2,0.25,70.25,t2,7,1.705,71.705,x,5,8,2
3,0.5,72.5,x,3,0.665,72.665,x,6,7,1
2,0.25,74.25,x,5,1.095,75.095,x,7,6,8
7,1.5,77.5,t2,5,1.02,77.02,t1,8,5,7
7,1.5,79.5,x,8,1.935,79.935,x,1,4,6
5,1.0,81.0,t2,4,0.91,80.91,x,2,3,5
6,1.25,83.25,x,5,1.16,83.16,x,3,2,4
1,0.0,84.0,t1,8,1.82,85.82,x,4,1,3
1,0.0,86.0,x,8,1.775,87.775,t1,5,8,2
6,1.25,89.25,c,2,0.3,88.3,x,6,7,1
4,0.75,90.75,x,6,1.465,91.465,t1,7,6,8
8,1.75,93.75,c,6,1.355,93.355,x,8,5,7
2,0.25,94.25,x,8,1.75,95.75,x,1,4,6
7,1.5,97.5,x,7,1.56,97.56,x,2,3,5
7,1.5,99.5,x,1,0.08,98.08,x,3,2,4
2,0.25,100.25,x,6,1.425,101.425,x,4,1,3
5,1.0,103.0,c,2,0.415,102.415,t2,5,8,2
8,1.75,105.75,x,6,1.37,105.37,c,6,7,1
8,1.75,107.75,t2,8,1.785,107.785,t2,7,6,8
6,1.25,109.25,x,4,0.7,108.7,x,8,5,7
6,1.25,111.25,t2,6,1.41,111.41,t2,1,4,6
4,0.75,112.75,x,2,0.36,112.36,c,2,3,5
2,0.25,114.25,t1,2,0.325,114.325,t1,3,2,4
5,1.0,117.0,x,6,1.345,117.345,x,4,1,3
4,0.75,118.75,x,1,-0.015,117.985,x,5,8,2
8,1.75,121.75,x,4,1.01,121.01,x,6,7,1
7,1.5,123.5,c,3,0.6,122.6,x,7,6,8
3,0.5,124.5,x,2,0.245,124.245,x,8,5,7
2,0.25,126.25,x,5,1.085,127.085,x,1,4,6
