nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,7,1.56,1.56,x,2,3,5
2,0.25,2.25,t1,6,1.215,3.215,x,3,2,4
1,0.0,4.0,t1,8,1.9,5.9,x,4,1,3
8,1.75,7.75,t1,3,0.685,6.6850000000000005,x,5,8,2
8,1.75,9.75,x,3,0.665,8.665,x,6,7,1
2,0.25,10.25,x,1,0.11,10.11,x,7,6,8
7,1.5,13.5,t2,2,0.36,12.36,x,8,5,7
3,0.5,14.5,x,7,1.6,15.6,x,1,4,6
6,1.25,17.25,x,2,0.36,16.36,c,2,3,5
8,1.75,19.75,x,6,1.28,19.28,x,3,2,4
5,1.0,21.0,x,5,1.215,21.215,x,4,1,3
4,0.75,22.75,x,6,1.27,23.27,x,5,8,2
6,1.25,25.25,c,8,1.7,25.7,x,6,7,1
4,0.75,26.75,x,4,0.815,26.815,x,7,6,8
2,0.25,28.25,x,5,1.07,29.07,t1,8,5,7
6,1.25,31.25,t2,1,0.11,30.11,c,1,4,6
3,0.5,32.5,t1,4,0.855,32.855,x,2,3,5
1,0.0,34.0,x,8,1.845,35.845,x,3,2,4
4,0.75,36.75,c,5,1.045,37.045,x,4,1,3
4,0.75,38.75,x,2,0.415,38.415,t2,5,8,2
8,1.75,41.75,x,1,0.1,40.1,t2,6,7,1
8,1.75,43.75,t2,8,1.785,43.785,t2,7,6,8
5,1.0,45.0,t1,4,0.7,44.7,x,8,5,7
4,0.75,46.75,t1,6,1.41,47.41,t2,1,4,6
1,0.0,48.0,x,6,1.295,49.295,x,2,3,5
7,1.5,51.5,x,4,0.89,50.89,t2,3,2,4
3,0.5,52.5,t2,7,1.505,53.505,x,4,1,3
5,1.0,55.0,c,1,-0.015,53.985,x,5,8,2
7,1.5,57.5,t1,7,1.545,57.545,t1,6,7,1
7,1.5,59.5,c,4,0.815,58.815,x,7,6,8
6,1.25,61.25,x,8,1.835,61.835,c,8,5,7
5,1.0,63.0,x,8,1.75,63.75,x,1,4,6
6,1.25,65.25,x,1,0.0,64.0,x,2,3,5
3,0.5,66.5,c,1,0.08,66.08,x,3,2,4
5,1.0,69.0,x,1,0.18,68.18,t1,4,1,3
4,0.75,70.75,x,8,1.89,71.89,t1,5,8,2
2,0.25,72.25,x,3,0.665,72.665,x,6,7,1
6,1.25,75.25,t1,5,1.095,75.095,x,7,6,8
8,1.75,77.75,c,1,0.08,76.08,x,8,5,7
7,1.5,79.5,x,3,0.645,78.645,x,1,4,6
5,1.0,81.0,t2,5,1.185,81.185,t2,2,3,5
4,0.75,82.75,t2,3,0.705,82.705,c,3,2,4
7,1.5,85.5,x,2,0.38,84.38,x,4,1,3
6,1.25,87.25,x,6,1.27,87.27,x,5,8,2
3,0.5,88.5,x,6,1.4,89.4,c,6,7,1
4,0.75,90.75,x,7,1.64,91.64,c,7,6,8
1,0.0,92.0,x,4,0.9,92.9,x,8,5,7
7,1.5,95.5,x,4,0.79,94.79,t1,1,4,6
1,0.0,96.0,x,7,1.56,97.56,x,2,3,5
6,1.25,99.25,x,2,0.29,98.29,t1,3,2,4
7,1.5,101.5,x,3,0.65,100.65,t2,4,1,3
2,0.25,102.25,t2,7,1.705,103.705,x,5,8,2
8,1.75,105.75,x,2,0.45,104.45,x,6,7,1
2,0.25,106.25,x,6,1.2,107.2,t1,7,6,8
3,0.5,108.5,x,7,1.4,109.4,t2,8,5,7
1,0.0,110.0,c,5,1.105,111.105,x,1,4,6
2,0.25,112.25,c,3,0.735,112.735,t1,2,3,5
8,1.75,115.75,x,8,1.85,115.85,x,3,2,4
5,1.0,117.0,x,4,0.89,116.89,c,4,1,3
3,0.5,118.5,x,5,0.94,118.94,c,5,8,2
1,0.0,120.0,t2,2,0.3,120.3,x,6,7,1
5,1.0,123.0,x,3,0.6,122.6,x,7,6,8
2,0.25,124.25,x,2,0.245,124.245,x,8,5,7
3,0.5,126.5,x,5,1.085,127.085,x,1,4,6
