nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
7,1.5,1.5,x,4,0.855,0.855,x,2,3,5
1,0.0,2.0,x,1,0.08,2.08,x,3,2,4
3,0.5,4.5,t2,7,1.705,5.705,x,4,1,3
5,1.0,7.0,c,4,0.975,6.975,x,5,8,2
7,1.5,9.5,t1,5,1.195,9.195,x,6,7,1
4,0.75,10.75,x,5,1.095,11.095,x,7,6,8
2,0.25,12.25,x,1,0.08,12.08,x,8,5,7
8,1.75,15.75,x,2,0.48,14.48,x,1,4,6
3,0.5,16.5,t1,4,0.91,16.91,x,2,3,5
4,0.75,18.75,t2,3,0.705,18.705,c,3,2,4
4,0.75,20.75,c,8,1.82,21.82,x,4,1,3
1,0.0,22.0,x,1,-0.015,21.985,x,5,8,2
6,1.25,25.25,c,1,0.08,24.08,t2,6,7,1
8,1.75,27.75,t2,4,0.815,26.815,x,7,6,8
4,0.75,28.75,x,2,0.245,28.245,x,8,5,7
7,1.5,31.5,x,2,0.235,30.235,x,1,4,6
8,1.75,33.75,x,2,0.3,32.3,c,2,3,5
6,1.25,35.25,x,8,1.845,35.845,x,3,2,4
1,0.0,36.0,t1,3,0.65,36.65,t2,4,1,3
1,0.0,38.0,x,5,1.11,39.11,c,5,8,2
5,1.0,41.0,x,8,1.89,41.89,x,6,7,1
4,0.75,42.75,x,3,0.64,42.64,x,7,6,8
3,0.5,44.5,x,6,1.23,45.23,x,8,5,7
8,1.75,47.75,x,7,1.6,47.6,x,1,4,6
5,1.0,49.0,t2,7,1.515,49.515,x,2,3,5
1,0.0,50.0,x,2,0.325,50.325,t1,3,2,4
7,1.5,53.5,x,1,0.015,52.015,t1,4,1,3
6,1.25,55.25,x,2,0.195,54.195,t2,5,8,2
2,0.25,56.25,x,8,1.7,57.7,x,6,7,1
6,1.25,59.25,t1,1,-0.075,57.925,x,7,6,8
7,1.5,61.5,t2,5,1.07,61.07,t1,8,5,7
6,1.25,63.25,t2,1,0.11,62.11,c,1,4,6
7,1.5,65.5,x,4,0.855,64.855,x,2,3,5
3,0.5,66.5,c,4,0.745,66.745,t2,3,2,4
7,1.5,69.5,x,6,1.425,69.425,x,4,1,3
6,1.25,71.25,x,3,0.685,70.685,x,5,8,2
1,0.0,72.0,t2,3,0.665,72.665,x,6,7,1
1,0.0,74.0,x,6,1.2,75.2,t1,7,6,8
8,1.75,77.75,c,1,0.08,76.08,x,8,5,7
3,0.5,78.5,x,2,0.48,78.48,x,1,4,6
8,1.75,81.75,x,5,1.185,81.185,t2,2,3,5
5,1.0,83.0,x,8,1.85,83.85,x,3,2,4
2,0.25,84.25,x,5,1.215,85.215,x,4,1,3
3,0.5,86.5,x,8,1.775,87.775,t1,5,8,2
5,1.0,89.0,x,7,1.545,89.545,t1,6,7,1
5,1.0,91.0,x,5,1.16,91.16,x,7,6,8
4,0.75,92.75,x,8,1.835,93.835,c,8,5,7
1,0.0,94.0,c,2,0.235,94.235,x,1,4,6
2,0.25,96.25,c,6,1.28,97.28,x,2,3,5
6,1.25,99.25,x,6,1.215,99.215,x,3,2,4
8,1.75,101.75,x,4,0.82,100.82,c,4,1,3
2,0.25,102.25,t2,7,1.705,103.705,x,5,8,2
2,0.25,104.25,x,3,0.665,104.665,x,6,7,1
7,1.5,107.5,c,8,1.785,107.785,t2,7,6,8
5,1.0,109.0,t1,7,1.4,109.4,t2,8,5,7
4,0.75,110.75,t1,4,0.76,110.76,t1,1,4,6
6,1.25,113.25,x,3,0.735,112.735,t1,2,3,5
2,0.25,114.25,t1,5,1.16,115.16,x,3,2,4
2,0.25,116.25,x,6,1.345,117.345,x,4,1,3
8,1.75,119.75,t1,7,1.38,119.38,x,5,8,2
5,1.0,121.0,x,6,1.4,121.4,c,6,7,1
3,0.5,122.5,x,7,1.64,123.64,c,7,6,8
4,0.75,124.75,x,3,0.545,124.545,x,8,5,7
3,0.5,126.5,x,6,1.2,127.2,t2,1,4,6
