nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
6,1.25,1.25,x,1,0.0,0.0,x,2,3,5
4,0.75,2.75,t2,1,0.08,2.08,x,3,2,4
8,1.75,5.75,x,2,0.34,4.34,x,4,1,3
4,0.75,6.75,x,1,0.07,6.07,x,5,8,2
6,1.25,9.25,c,5,1.195,9.195,x,6,7,1
7,1.5,11.5,c,1,0.11,10.11,x,7,6,8
5,1.0,13.0,t1,1,0.08,12.08,x,8,5,7
6,1.25,15.25,t2,3,0.645,14.645,x,1,4,6
2,0.25,16.25,c,7,1.515,17.515,x,2,3,5
2,0.25,18.25,t1,4,0.89,18.89,t2,3,2,4
2,0.25,20.25,x,2,0.38,20.38,x,4,1,3
3,0.5,22.5,x,6,1.27,23.27,x,5,8,2
8,1.75,25.75,x,5,1.11,25.11,x,6,7,1
5,1.0,27.0,x,5,1.16,27.16,x,7,6,8
6,1.25,29.25,x,6,1.355,29.355,x,8,5,7
8,1.75,31.75,x,1,0.11,30.11,c,1,4,6
7,1.5,33.5,x,7,1.56,33.56,x,2,3,5
6,1.25,35.25,x,2,0.29,34.29,t1,3,2,4
3,0.5,36.5,t2,2,0.34,36.34,x,4,1,3
5,1.0,39.0,c,4,0.975,38.975,x,5,8,2
5,1.0,41.0,x,6,1.37,41.37,c,6,7,1
8,1.75,43.75,t2,3,0.64,42.64,x,7,6,8
8,1.75,45.75,c,6,1.23,45.23,x,8,5,7
2,0.25,46.25,x,8,1.935,47.935,x,1,4,6
1,0.0,48.0,x,5,1.185,49.185,t2,2,3,5
6,1.25,51.25,x,8,1.85,51.85,x,3,2,4
7,1.5,53.5,x,8,1.82,53.82,x,4,1,3
1,0.0,54.0,x,8,1.775,55.775,t1,5,8,2
2,0.25,56.25,x,1,0.08,56.08,t2,6,7,1
4,0.75,58.75,x,8,1.915,59.915,t2,7,6,8
1,0.0,60.0,x,8,1.835,61.835,c,8,5,7
1,0.0,62.0,c,3,0.435,62.435,x,1,4,6
1,0.0,64.0,x,4,0.855,64.855,x,2,3,5
1,0.0,66.0,x,7,1.445,67.445,x,3,2,4
4,0.75,68.75,c,1,0.18,68.18,t1,4,1,3
6,1.25,71.25,x,2,0.415,70.415,t2,5,8,2
1,0.0,72.0,t2,8,1.89,73.89,x,6,7,1
6,1.25,75.25,t1,7,1.43,75.43,c,7,6,8
4,0.75,76.75,x,4,0.7,76.7,x,8,5,7
2,0.25,78.25,x,4,0.76,78.76,t1,1,4,6
4,0.75,80.75,x,3,0.735,80.735,t1,2,3,5
5,1.0,83.0,x,7,1.56,83.56,x,3,2,4
5,1.0,85.0,x,3,0.685,84.685,t2,4,1,3
2,0.25,86.25,t2,6,1.27,87.27,x,5,8,2
8,1.75,89.75,x,3,0.675,88.675,x,6,7,1
5,1.0,91.0,x,4,0.815,90.815,x,7,6,8
3,0.5,92.5,x,6,1.355,93.355,x,8,5,7
2,0.25,94.25,x,6,1.2,95.2,t2,1,4,6
5,1.0,97.0,t2,4,0.855,96.855,x,2,3,5
7,1.5,99.5,x,3,0.415,98.415,c,3,2,4
8,1.75,101.75,x,2,0.34,100.34,x,4,1,3
8,1.75,103.75,t1,7,1.705,103.705,x,5,8,2
7,1.5,105.5,t1,2,0.45,104.45,x,6,7,1
3,0.5,106.5,x,3,0.64,106.64,x,7,6,8
7,1.5,109.5,t2,5,1.02,109.02,t1,8,5,7
4,0.75,110.75,t1,5,1.105,111.105,x,1,4,6
3,0.5,112.5,t1,2,0.36,112.36,c,2,3,5
3,0.5,114.5,c,8,1.85,115.85,x,3,2,4
1,0.0,116.0,t1,4,0.89,116.89,c,4,1,3
7,1.5,119.5,x,5,0.94,118.94,c,5,8,2
3,0.5,120.5,x,7,1.545,121.545,t1,6,7,1
3,0.5,122.5,x,6,1.465,123.465,t1,7,6,8
4,0.75,124.75,x,7,1.65,125.65,t2,8,5,7
7,1.5,127.5,x,5,1.085,127.085,x,1,4,6
