nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
5,1.0,1.0,t2,7,1.56,1.56,x,2,3,5
8,1.75,3.75,x,8,1.845,3.8449999999999998,x,3,2,4
1,0.0,4.0,t1,2,0.34,4.34,x,4,1,3
1,0.0,6.0,x,4,0.975,6.975,x,5,8,2
1,0.0,8.0,t2,2,0.45,8.45,x,6,7,1
1,0.0,10.0,x,4,0.78,10.78,x,7,6,8
1,0.0,12.0,x,8,1.775,13.775,c,8,5,7
2,0.25,14.25,x,2,0.48,14.48,x,1,4,6
8,1.75,17.75,x,4,0.91,16.91,x,2,3,5
1,0.0,18.0,x,3,0.705,18.705,c,3,2,4
2,0.25,20.25,x,5,1.215,21.215,x,4,1,3
6,1.25,23.25,x,5,0.94,22.94,c,5,8,2
5,1.0,25.0,x,3,0.675,24.675,x,6,7,1
2,0.25,26.25,x,4,0.815,26.815,x,7,6,8
7,1.5,29.5,t2,1,0.125,28.125,x,8,5,7
4,0.75,30.75,t1,4,0.79,30.79,t1,1,4,6
2,0.25,32.25,c,2,0.3,32.3,c,2,3,5
6,1.25,35.25,x,8,1.845,35.845,x,3,2,4
3,0.5,36.5,t2,5,1.045,37.045,x,4,1,3
3,0.5,38.5,x,2,0.415,38.415,t2,5,8,2
6,1.25,41.25,c,8,1.89,41.89,x,6,7,1
8,1.75,43.75,t2,8,1.785,43.785,t2,7,6,8
8,1.75,45.75,c,7,1.4,45.4,t2,8,5,7
6,1.25,47.25,t2,2,0.48,46.48,x,1,4,6
1,0.0,48.0,x,6,1.295,49.295,x,2,3,5
2,0.25,50.25,t1,2,0.325,50.325,t1,3,2,4
4,0.75,52.75,c,1,0.015,52.015,t1,4,1,3
4,0.75,54.75,x,6,1.27,55.27,x,5,8,2
5,1.0,57.0,x,6,1.4,57.4,c,6,7,1
6,1.25,59.25,t1,6,1.465,59.465,t1,7,6,8
6,1.25,61.25,x,3,0.545,60.545,x,8,5,7
7,1.5,63.5,x,5,1.085,63.085,x,1,4,6
3,0.5,64.5,t1,3,0.53,64.53,t1,2,3,5
4,0.75,66.75,t2,7,1.445,67.445,x,3,2,4
7,1.5,69.5,x,4,0.82,68.82,c,4,1,3
4,0.75,70.75,x,3,0.685,70.685,x,5,8,2
8,1.75,73.75,x,7,1.58,73.58,t1,6,7,1
4,0.75,74.75,x,5,1.095,75.095,x,7,6,8
3,0.5,76.5,x,1,0.08,76.08,x,8,5,7
1,0.0,78.0,c,6,1.41,79.41,t2,1,4,6
7,1.5,81.5,x,1,0.055,80.055,x,2,3,5
3,0.5,82.5,c,1,-0.005,81.995,x,3,2,4
5,1.0,85.0,x,7,1.505,85.505,x,4,1,3
5,1.0,87.0,c,3,0.575,86.575,x,5,8,2
8,1.75,89.75,x,2,0.3,88.3,x,6,7,1
7,1.5,91.5,c,4,0.815,90.815,x,7,6,8
2,0.25,92.25,x,5,1.07,93.07,t1,8,5,7
5,1.0,95.0,x,1,0.11,94.11,c,1,4,6
6,1.25,97.25,x,6,1.28,97.28,x,2,3,5
5,1.0,99.0,x,6,1.215,99.215,x,3,2,4
8,1.75,101.75,x,8,1.9,101.9,x,4,1,3
2,0.25,102.25,t2,1,0.07,102.07,x,5,8,2
3,0.5,104.5,x,1,0.1,104.1,t2,6,7,1
4,0.75,106.75,x,5,1.095,107.095,x,7,6,8
5,1.0,109.0,t1,6,1.23,109.23,x,8,5,7
7,1.5,111.5,x,7,1.6,111.6,x,1,4,6
4,0.75,112.75,x,5,1.185,113.185,t2,2,3,5
7,1.5,115.5,x,4,0.89,114.89,t2,3,2,4
6,1.25,117.25,x,3,0.685,116.685,t2,4,1,3
8,1.75,119.75,t1,8,1.775,119.775,t1,5,8,2
7,1.5,121.5,t1,8,1.7,121.7,x,6,7,1
3,0.5,122.5,x,7,1.64,123.64,c,7,6,8
2,0.25,124.25,x,3,0.545,124.545,x,8,5,7
3,0.5,126.5,x,7,1.41,127.41,x,1,4,6
