nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
2,0.25,0.25,c,6,1.28,1.28,x,2,3,5
4,0.75,2.75,t2,6,1.215,3.215,x,3,2,4
6,1.25,5.25,x,2,0.34,4.34,x,4,1,3
1,0.0,6.0,x,4,0.975,6.975,x,5,8,2
5,1.0,9.0,x,1,0.1,8.1,t2,6,7,1
7,1.5,11.5,c,7,1.43,11.43,c,7,6,8
4,0.75,12.75,x,8,1.775,13.775,c,8,5,7
4,0.75,14.75,t1,6,1.41,15.41,t2,1,4,6
6,1.25,17.25,x,5,1.185,17.185,t2,2,3,5
2,0.25,18.25,t1,2,0.325,18.325,t1,3,2,4
4,0.75,20.75,c,5,1.215,21.215,x,4,1,3
1,0.0,22.0,x,5,0.94,22.94,c,5,8,2
8,1.75,25.75,x,6,1.4,25.4,c,6,7,1
5,1.0,27.0,x,4,0.815,26.815,x,7,6,8
4,0.75,28.75,x,5,1.07,29.07,t1,8,5,7
7,1.5,31.5,x,5,1.085,31.085,x,1,4,6
4,0.75,32.75,x,3,0.53,32.53,t1,2,3,5
1,0.0,34.0,x,7,1.445,35.445,x,3,2,4
8,1.75,37.75,x,7,1.705,37.705,x,4,1,3
6,1.25,39.25,x,6,1.42,39.42,x,5,8,2
7,1.5,41.5,t1,3,0.665,40.665,x,6,7,1
6,1.25,43.25,t1,8,1.785,43.785,t2,7,6,8
8,1.75,45.75,c,7,1.4,45.4,t2,8,5,7
5,1.0,47.0,x,1,0.16,46.16,c,1,4,6
6,1.25,49.25,x,7,1.515,49.515,x,2,3,5
3,0.5,50.5,c,3,0.705,50.705,c,3,2,4
1,0.0,52.0,t1,1,0.015,52.015,t1,4,1,3
4,0.75,54.75,x,2,0.195,54.195,t2,5,8,2
1,0.0,56.0,t2,8,1.7,57.7,x,6,7,1
4,0.75,58.75,x,1,-0.075,57.925,x,7,6,8
2,0.25,60.25,x,2,0.245,60.245,x,8,5,7
6,1.25,63.25,t2,4,0.79,62.79,t1,1,4,6
6,1.25,65.25,x,2,0.3,64.3,c,2,3,5
5,1.0,67.0,x,8,1.845,67.845,x,3,2,4
2,0.25,68.25,x,4,0.82,68.82,c,4,1,3
5,1.0,71.0,c,3,0.685,70.685,x,5,8,2
3,0.5,72.5,x,7,1.58,73.58,t1,6,7,1
8,1.75,75.75,t2,6,1.2,75.2,t1,7,6,8
5,1.0,77.0,t1,1,0.08,76.08,x,8,5,7
3,0.5,78.5,x,2,0.48,78.48,x,1,4,6
7,1.5,81.5,x,7,1.515,81.515,x,2,3,5
7,1.5,83.5,x,4,0.89,82.89,t2,3,2,4
3,0.5,84.5,t2,2,0.38,84.38,x,4,1,3
2,0.25,86.25,t2,4,0.8,86.8,x,5,8,2
8,1.75,89.75,x,5,1.11,89.11,x,6,7,1
2,0.25,90.25,x,3,0.6,90.6,x,7,6,8
3,0.5,92.5,x,1,0.125,92.125,x,8,5,7
1,0.0,94.0,c,5,1.085,95.085,x,1,4,6
5,1.0,97.0,t2,1,0.0,96.0,x,2,3,5
5,1.0,99.0,x,1,0.08,98.08,x,3,2,4
8,1.75,101.75,x,3,0.65,100.65,t2,4,1,3
8,1.75,103.75,t1,8,1.89,103.89,t1,5,8,2
6,1.25,105.25,c,8,1.89,105.89,x,6,7,1
2,0.25,106.25,x,3,0.64,106.64,x,7,6,8
7,1.5,109.5,t2,6,1.23,109.23,x,8,5,7
7,1.5,111.5,x,2,0.48,110.48,x,1,4,6
3,0.5,112.5,t1,6,1.295,113.295,x,2,3,5
1,0.0,114.0,x,8,1.85,115.85,x,3,2,4
2,0.25,116.25,x,7,1.505,117.505,x,4,1,3
7,1.5,119.5,x,4,0.8,118.8,x,5,8,2
3,0.5,120.5,x,8,1.7,121.7,x,6,7,1
3,0.5,122.5,x,3,0.6,122.6,x,7,6,8
1,0.0,124.0,x,4,0.9,124.9,x,8,5,7
8,1.75,127.75,x,5,1.085,127.085,x,1,4,6
