nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
6,1.25,1.25,x,7,1.56,1.56,x,2,3,5
8,1.75,3.75,x,3,0.415,2.415,c,3,2,4
2,0.25,4.25,x,3,0.65,4.65,t2,4,1,3
4,0.75,6.75,x,3,0.685,6.6850000000000005,x,5,8,2
2,0.25,8.25,x,2,0.45,8.45,x,6,7,1
1,0.0,10.0,x,7,1.43,11.43,c,7,6,8
7,1.5,13.5,t2,3,0.56,12.56,x,8,5,7
5,1.0,15.0,x,8,1.935,15.935,x,1,4,6
7,1.5,17.5,x,2,0.36,16.36,c,2,3,5
4,0.75,18.75,t2,1,-0.005,17.995,x,3,2,4
2,0.25,20.25,x,1,0.015,20.015,t1,4,1,3
4,0.75,22.75,x,1,-0.015,21.985,x,5,8,2
5,1.0,25.0,x,4,1.01,25.01,x,6,7,1
8,1.75,27.75,t2,8,1.915,27.915,t2,7,6,8
1,0.0,28.0,x,5,1.07,29.07,t1,8,5,7
3,0.5,30.5,x,8,1.75,31.75,x,1,4,6
3,0.5,32.5,t1,8,1.855,33.855,x,2,3,5
7,1.5,35.5,x,1,0.08,34.08,x,3,2,4
3,0.5,36.5,t2,2,0.34,36.34,x,4,1,3
5,1.0,39.0,c,2,0.415,38.415,t2,5,8,2
7,1.5,41.5,t1,2,0.45,40.45,x,6,7,1
6,1.25,43.25,t1,3,0.64,42.64,x,7,6,8
6,1.25,45.25,x,6,1.23,45.23,x,8,5,7
3,0.5,46.5,x,1,0.16,46.16,c,1,4,6
4,0.75,48.75,x,5,1.185,49.185,t2,2,3,5
8,1.75,51.75,x,6,1.28,51.28,x,3,2,4
2,0.25,52.25,x,5,1.215,53.215,x,4,1,3
1,0.0,54.0,x,5,0.94,54.94,c,5,8,2
1,0.0,56.0,t2,7,1.545,57.545,t1,6,7,1
1,0.0,58.0,x,6,1.465,59.465,t1,7,6,8
5,1.0,61.0,t1,3,0.545,60.545,x,8,5,7
1,0.0,62.0,c,6,1.2,63.2,t2,1,4,6
2,0.25,64.25,c,7,1.56,65.56,x,2,3,5
3,0.5,66.5,c,2,0.29,66.29,t1,3,2,4
1,0.0,68.0,t1,4,0.82,68.82,c,4,1,3
2,0.25,70.25,t2,3,0.685,70.685,x,5,8,2
5,1.0,73.0,x,4,0.795,72.795,x,6,7,1
1,0.0,74.0,x,1,0.11,74.11,x,7,6,8
2,0.25,76.25,x,7,1.4,77.4,t2,8,5,7
6,1.25,79.25,t2,7,1.6,79.6,x,1,4,6
5,1.0,81.0,t2,3,0.735,80.735,t1,2,3,5
2,0.25,82.25,t1,1,-0.005,81.995,x,3,2,4
4,0.75,84.75,c,8,1.82,85.82,x,4,1,3
6,1.25,87.25,x,4,0.8,86.8,x,5,8,2
8,1.75,89.75,x,6,1.4,89.4,c,6,7,1
4,0.75,90.75,x,2,0.235,90.235,x,7,6,8
8,1.75,93.75,c,8,1.835,93.835,c,8,5,7
3,0.5,94.5,x,7,1.41,95.41,x,1,4,6
8,1.75,97.75,x,7,1.56,97.56,x,2,3,5
8,1.75,99.75,x,4,0.745,98.745,t2,3,2,4
7,1.5,101.5,x,5,1.045,101.045,x,4,1,3
8,1.75,103.75,t1,8,1.89,103.89,t1,5,8,2
5,1.0,105.0,x,1,0.1,104.1,t2,6,7,1
4,0.75,106.75,x,4,0.78,106.78,x,7,6,8
6,1.25,109.25,x,4,0.7,108.7,x,8,5,7
4,0.75,110.75,t1,8,1.935,111.935,x,1,4,6
7,1.5,113.5,x,6,1.295,113.295,x,2,3,5
6,1.25,115.25,x,5,1.16,115.16,x,3,2,4
5,1.0,117.0,x,5,1.215,117.215,x,4,1,3
7,1.5,119.5,x,6,1.27,119.27,x,5,8,2
6,1.25,121.25,c,5,1.11,121.11,x,6,7,1
7,1.5,123.5,c,2,0.235,122.235,x,7,6,8
3,0.5,124.5,x,6,1.355,125.355,x,8,5,7
3,0.5,126.5,x,4,0.79,126.79,t1,1,4,6
